"SPECIES_NR","TURBOVEG_NAME","KAPLAN_PLUS_NAME","KAPLAN_PLUS_NAME_SIMPLE","AUTHORSHIP","CZECHVEG_ESY_NAME","CZECHVEG_ESY_NAME_SUBSP","PLANT_GROUP"
1,"Abies alba","Abies alba","Abies alba","Mill.","Abies alba","Abies alba","vascular"
2,"Abies species","Abies","Abies","Mill.","Abies species","Abies","vascular"
3,"Abietinella abietina","Abietinella abietina","Abietinella abietina","(Hedw.) M.Fleisch.","Abietinella abietina","Abietinella abietina","bryophyte"
4,"Abietinella abietina var. abietina","Abietinella abietina var. abietina","Abietinella abietina var. abietina","(Hedw.) M.Fleisch.","Abietinella abietina","Abietinella abietina","bryophyte"
5,"Abietinella abietina var. hystricosa","Abietinella abietina var. hystricosa","Abietinella abietina var. hystricosa","(Mitt.) Sakurai ex Ignatov & Ignatova","Abietinella abietina","Abietinella abietina","bryophyte"
6,"Abietinella species","Abietinella","Abietinella","Müll.Hal.","Abietinella species","Abietinella","bryophyte"
7,"Abrothallus bertianus","Abrothallus bertianus","Abrothallus bertianus","(Sommerf.) Arnold","Abrothallus bertianus","Abrothallus bertianus","lichen"
8,"Abrothallus caerulescens","Abrothallus caerulescens","Abrothallus caerulescens","I.Kotte","Abrothallus caerulescens","Abrothallus caerulescens","lichen"
9,"Abrothallus cetrariae","Abrothallus cetrariae","Abrothallus cetrariae","I.Kotte","Abrothallus cetrariae","Abrothallus cetrariae","lichen"
10,"Abrothallus microspermus","Abrothallus microspermus","Abrothallus microspermus","Tul.","Abrothallus microspermus","Abrothallus microspermus","lichen"
11,"Abrothallus parmelianus","Abrothallus parmeliarum","Abrothallus parmeliarum","(Sommerf.) Arnold","Abrothallus parmelianus","Abrothallus parmelianus","lichen"
12,"Abrothallus peyritschii","Abrothallus peyritschii","Abrothallus peyritschii","(Stein) I.Kotte","Abrothallus peyritschii","Abrothallus peyritschii","lichen"
13,"Abrothallus prodiens","Abrothallus prodiens","Abrothallus prodiens","(Harm.) Diederich & Hafellner","Abrothallus prodiens","Abrothallus prodiens","lichen"
14,"Abrothallus usneae","Abrothallus usneae","Abrothallus usneae","Rabenh.","Abrothallus usneae","Abrothallus usneae","lichen"
15,"Abrothallus species","Abrothallus","Abrothallus","De Not.","Abrothallus species","Abrothallus","lichen"
16,"Absconditella annexa","Absconditella annexa","Absconditella annexa","(Arnold) Vĕzda","Absconditella annexa","Absconditella annexa","lichen"
17,"Absconditella delutula","Absconditella delutula","Absconditella delutula","(Nyl.) Coppins & H.Kilias","Absconditella delutula","Absconditella delutula","lichen"
18,"Absconditella fossarum","Absconditella fossarum","Absconditella fossarum","Vezda & Pisút","Absconditella fossarum","Absconditella fossarum","lichen"
19,"Absconditella lignicola","Absconditella lignicola","Absconditella lignicola","Vĕzda & Pišút","Absconditella lignicola","Absconditella lignicola","lichen"
20,"Absconditella sphagnorum","Absconditella sphagnorum","Absconditella sphagnorum","Vĕzda & Poelt","Absconditella sphagnorum","Absconditella sphagnorum","lichen"
21,"Absconditella trivialis","Absconditella trivialis","Absconditella trivialis","(Willey ex Tuck.) Vĕzda","Absconditella trivialis","Absconditella trivialis","lichen"
22,"Absconditella species","Absconditella","Absconditella","Vĕzda, 1965","Absconditella species","Absconditella","lichen"
23,"Abutilon theophrasti","Abutilon theophrasti","Abutilon theophrasti","Medik.","Abutilon theophrasti","Abutilon theophrasti","vascular"
24,"Abutilon species","Abutilon","Abutilon","Mill.","Abutilon species","Abutilon","vascular"
25,"Acalypha virginica","Acalypha virginica","Acalypha virginica","L.","Acalypha virginica","Acalypha virginica","vascular"
26,"Acalypha species","Acalypha","Acalypha","L.","Acalypha species","Acalypha","vascular"
27,"Acarospora admissa","Acarospora admissa","Acarospora admissa","(Nyl.) Kullh.","Acarospora admissa","Acarospora admissa","lichen"
28,"Acarospora atrata","Acarospora atrata","Acarospora atrata","Hue","Acarospora atrata","Acarospora atrata","lichen"
29,"Acarospora austriaca","Acarospora austriaca","Acarospora austriaca","H.Magn.","Acarospora austriaca","Acarospora austriaca","lichen"
30,"Acarospora badiofusca","Acarospora badiofusca","Acarospora badiofusca","(Nyl.) Th.Fr.","Acarospora badiofusca","Acarospora badiofusca","lichen"
31,"Acarospora badiofusca ssp. badiorubra","Acarospora badiofusca subsp. badiorubra","Acarospora badiofusca subsp. badiorubra","(Nyl.) Th.Fr.","Acarospora badiofusca ssp. badiorubra","Acarospora badiofusca subsp. badiorubra","lichen"
32,"Acarospora bullata","Acarospora bullata","Acarospora bullata","Anzi","Acarospora bullata","Acarospora bullata","lichen"
33,"Acarospora cervina","Acarospora cervina","Acarospora cervina","A.Massal.","Acarospora cervina","Acarospora cervina","lichen"
34,"Acarospora cervina var. conspersa","Acarospora cervina var. conspersa","Acarospora cervina var. conspersa","(Ach.) Arnold","Acarospora cervina var. conspersa","Acarospora cervina var. conspersa","lichen"
35,"Acarospora complanata","Acarospora complanata","Acarospora complanata","H.Magn.","Acarospora complanata","Acarospora complanata","lichen"
36,"Acarospora freyi","Acarospora freyi","Acarospora freyi","A.Massal., 1852","Acarospora freyi","Acarospora freyi","lichen"
37,"Acarospora fuscata","Acarospora fuscata","Acarospora fuscata","(Schrad.) Th. Fr.","Acarospora fuscata","Acarospora fuscata","lichen"
38,"Acarospora gallica","Acarospora gallica","Acarospora gallica","H.Magn.","Acarospora gallica","Acarospora gallica","lichen"
39,"Acarospora glaucocarpa","Acarospora glaucocarpa","Acarospora glaucocarpa","(Ach.) Körb.","Acarospora glaucocarpa","Acarospora glaucocarpa","lichen"
40,"Acarospora heppii","Acarospora heppii","Acarospora heppii","(Arnold) K.Knudsen & Arcadia","Acarospora heppii","Acarospora heppii","lichen"
41,"Acarospora heufleriana","Acarospora heufleriana","Acarospora heufleriana","Körb.","Acarospora heufleriana","Acarospora heufleriana","lichen"
42,"Acarospora hospitans","Acarospora hospitans","Acarospora hospitans","H.Magn.","Acarospora hospitans","Acarospora hospitans","lichen"
43,"Acarospora hostilis","Acarospora hostilis","Acarospora hostilis","A.Massal., 1852","Acarospora hostilis","Acarospora hostilis","lichen"
44,"Acarospora hungarica","Acarospora hungarica","Acarospora hungarica","H.Magn., 1929","Acarospora hungarica","Acarospora hungarica","lichen"
45,"Acarospora impressula","Acarospora impressula","Acarospora impressula","Th.Fr.","Acarospora impressula","Acarospora impressula","lichen"
46,"Acarospora insolata","Acarospora insolata","Acarospora insolata","H.Magn.","Acarospora insolata","Acarospora insolata","lichen"
47,"Acarospora intricata","Acarospora intricata","Acarospora intricata","(H.Magn.) Hafellner","Acarospora intricata","Acarospora intricata","lichen"
48,"Acarospora macrospora","Acarospora macrospora","Acarospora macrospora","A.Massal. ex Bagl.","Acarospora macrospora","Acarospora macrospora","lichen"
49,"Acarospora melaphaca","Acarospora melaphaca","Acarospora melaphaca","Arnold","Acarospora melaphaca","Acarospora melaphaca","lichen"
50,"Acarospora miskoliensis","Acarospora miskoliensis","Acarospora miskoliensis","H.Magn.","Acarospora miskoliensis","Acarospora miskoliensis","lichen"
51,"Acarospora nitrophila","Acarospora nitrophila","Acarospora nitrophila","H.Magn.","Acarospora nitrophila","Acarospora nitrophila","lichen"
52,"Acarospora nitrophila var. praeruptorum","Acarospora nitrophila var. praeruptorum","Acarospora nitrophila var. praeruptorum","H.Magn.","Acarospora nitrophila var. praeruptorum","Acarospora nitrophila var. praeruptorum","lichen"
53,"Acarospora nitrophila var. suzai","Acarospora nitrophila var. suzai","Acarospora nitrophila var. suzai","H.Magn.","Acarospora nitrophila var. suzai","Acarospora nitrophila var. suzai","lichen"
54,"Acarospora oligospora","Acarospora oligospora","Acarospora oligospora","(Nyl.) Arnold","Acarospora oligospora","Acarospora oligospora","lichen"
55,"Acarospora peliscypha","Acarospora peliscypha","Acarospora peliscypha","(Schrad.) Trevis.","Acarospora peliscypha","Acarospora peliscypha","lichen"
56,"Acarospora pyrenopsoides","Acarospora pyrenopsoides","Acarospora pyrenopsoides","H.Magn.","Acarospora pyrenopsoides","Acarospora pyrenopsoides","lichen"
57,"Acarospora rugulosa","Acarospora rugulosa","Acarospora rugulosa","Körb.","Acarospora rugulosa","Acarospora rugulosa","lichen"
58,"Acarospora scabrida","Acarospora scabrida","Acarospora scabrida","(Hedl. ex H.Magn.) K.Knudsen & Arcadia","Acarospora scabrida","Acarospora scabrida","lichen"
59,"Acarospora sinopica","Acarospora sinopica","Acarospora sinopica","(Wahlenb.) Körb.","Acarospora sinopica","Acarospora sinopica","lichen"
60,"Acarospora smaragdula","Acarospora smaragdula","Acarospora smaragdula","(Wahlenb. ex Ach.) Nägeli ex Uloth","Acarospora smaragdula","Acarospora smaragdula","lichen"
61,"Acarospora smaragdula var. lesdainii","Acarospora smaragdula var. lesdainii","Acarospora smaragdula var. lesdainii","(Wahlenb. ex Ach.) Nägeli ex Uloth","Acarospora smaragdula var. lesdainii","Acarospora smaragdula var. lesdainii","lichen"
62,"Acarospora smaragdula var. rufescens","Acarospora smaragdula var. rufescens","Acarospora smaragdula var. rufescens","(Ach.) M.Westb. & Wedin","Acarospora smaragdula var. rufescens","Acarospora smaragdula var. rufescens","lichen"
63,"Acarospora smaragdula var. smaragdula","Acarospora smaragdula var. smaragdula","Acarospora smaragdula var. smaragdula","(Wahlenb. ex Ach.) Nägeli ex Uloth","Acarospora smaragdula var. smaragdula","Acarospora smaragdula var. smaragdula","lichen"
64,"Acarospora tenuicorticata","Acarospora tenuicorticata","Acarospora tenuicorticata","H.Magn.","Acarospora tenuicorticata","Acarospora tenuicorticata","lichen"
65,"Acarospora tongletii","Acarospora tongletii","Acarospora tongletii","Hue","Acarospora tongletii","Acarospora tongletii","lichen"
66,"Acarospora truncata","Acarospora truncata","Acarospora truncata","A.Massal., 1852","Acarospora truncata","Acarospora truncata","lichen"
67,"Acarospora tyroliensis","Acarospora tyroliensis","Acarospora tyroliensis","H.Magn., 1935","Acarospora tyroliensis","Acarospora tyroliensis","lichen"
68,"Acarospora umbilicata","Acarospora umbilicata","Acarospora umbilicata","Bagl.","Acarospora umbilicata","Acarospora umbilicata","lichen"
69,"Acarospora variegata","Acarospora variegata","Acarospora variegata","Hue","Acarospora variegata","Acarospora variegata","lichen"
70,"Acarospora veronensis","Acarospora veronensis","Acarospora veronensis","A.Massal.","Acarospora veronensis","Acarospora veronensis","lichen"
71,"Acarospora versicolor","Acarospora versicolor","Acarospora versicolor","Bagl. & Carestia","Acarospora versicolor","Acarospora versicolor","lichen"
72,"Acarospora species","Acarospora","Acarospora","A.Massal., 1852","Acarospora species","Acarospora","lichen"
73,"Acaulon casasianum","Acaulon casasianum","Acaulon casasianum","Brugués & H.A.Crum","Acaulon casasianum","Acaulon casasianum","bryophyte"
74,"Acaulon dertosense","Acaulon dertosense","Acaulon dertosense","Casas, Sérgio, Cros & Brugués","Acaulon dertosense","Acaulon dertosense","bryophyte"
75,"Acaulon fontiquerianum","Acaulon fontiquerianum","Acaulon fontiquerianum","Casas & Sérgio","Acaulon fontiquerianum","Acaulon fontiquerianum","bryophyte"
76,"Acaulon muticum","Acaulon muticum","Acaulon muticum","(Schreb. ex Hedw.) Müll.Hal.","Acaulon muticum","Acaulon muticum","bryophyte"
77,"Acaulon piligerum","Acaulon piligerum","Acaulon piligerum","(De Not.) Limpr.","Acaulon piligerum","Acaulon piligerum","bryophyte"
78,"Acaulon triquetrum","Acaulon triquetrum","Acaulon triquetrum","(Spruce) Müll.Hal.","Acaulon triquetrum","Acaulon triquetrum","bryophyte"
79,"Acaulon species","Acaulon","Acaulon","Müll.Hal.","Acaulon species","Acaulon","bryophyte"
80,"Acer campestre","Acer campestre","Acer campestre","L.","Acer campestre","Acer campestre","vascular"
81,"Acer monspessulanum","Acer monspessulanum","Acer monspessulanum","L.","Acer monspessulanum","Acer monspessulanum","vascular"
82,"Acer negundo","Acer negundo","Acer negundo","L.","Acer negundo","Acer negundo","vascular"
83,"Acer platanoides","Acer platanoides","Acer platanoides","L.","Acer platanoides","Acer platanoides","vascular"
84,"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","L.","Acer pseudoplatanus","Acer pseudoplatanus","vascular"
85,"Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""","L.","Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""","vascular"
86,"Acer saccharinum","Acer saccharinum","Acer saccharinum","L.","Acer saccharinum","Acer saccharinum","vascular"
87,"Acer saccharum","Acer saccharum","Acer saccharum","Marshall","Acer saccharum","Acer saccharum","vascular"
88,"Acer tataricum","Acer tataricum","Acer tataricum","L.","Acer tataricum","Acer tataricum","vascular"
89,"Acer species","Acer","Acer","Linnaeus, 1753","Acer species","Acer","vascular"
90,"Aceras anthropophorum","Aceras anthropophorum","Aceras anthropophorum","(L.) All.","Aceras anthropophorum","Aceras anthropophorum","vascular"
91,"Aceras species","Aceras","Aceras","Sauter, 1830","Aceras species","Aceras","vascular"
92,"Achillea ageratum","Achillea ageratum","Achillea ageratum","L.","Achillea ageratum","Achillea ageratum","vascular"
93,"Achillea aspleniifolia","Achillea asplenifolia","Achillea asplenifolia","Vent.","Achillea asplenifolia","Achillea asplenifolia","vascular"
94,"Achillea atrata agg.","Achillea atrata agg.","Achillea atrata agg.","L.","Achillea atrata agg.","Achillea atrata agg.","vascular"
95,"Achillea atrata","Achillea atrata","Achillea atrata","L.","Achillea atrata","Achillea atrata","vascular"
96,"Achillea clavennae","Achillea clavennae","Achillea clavennae","L.","Achillea clavennae","Achillea clavennae","vascular"
97,"Achillea clusiana","Achillea clusiana","Achillea clusiana","Tausch","Achillea clusiana","Achillea clusiana","vascular"
98,"Achillea collina","Achillea collina","Achillea collina","(Wirtg.) Becker ex Heimerl","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
99,"Achillea crithmifolia","Achillea crithmifolia","Achillea crithmifolia","Waldst. & Kit.","Achillea crithmifolia","Achillea crithmifolia","vascular"
100,"Achillea distans","Achillea styriaca","Achillea styriaca","Saukel & Danihelka","Achillea styriaca","Achillea styriaca","vascular"
101,"Achillea distans ssp. distans","Achillea distans subsp. distans","Achillea distans subsp. distans",NA,"Achillea distans ssp. distans","Achillea distans subsp. distans","vascular"
102,"Achillea distans ssp. styriaca","Achillea styriaca","Achillea styriaca","Saukel & Danihelka","Achillea styriaca","Achillea styriaca","vascular"
103,"Achillea filipendulina","Achillea filipendulina","Achillea filipendulina","Lam.","Achillea filipendulina","Achillea filipendulina","vascular"
104,"Achillea grandifolia","Achillea grandifolia","Achillea grandifolia","Friv.","Achillea grandifolia","Achillea grandifolia","vascular"
105,"Achillea macrophylla","Achillea macrophylla","Achillea macrophylla","L.","Achillea macrophylla","Achillea macrophylla","vascular"
106,"Achillea millefolium agg.","Achillea millefolium agg.","Achillea millefolium agg.","L.","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
107,"Achillea millefolium","Achillea millefolium","Achillea millefolium","L.","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
108,"Achillea millefolium ssp. millefolium","Achillea millefolium subsp. millefolium","Achillea millefolium subsp. millefolium","L.","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
109,"Achillea millefolium ssp. sudetica","Achillea millefolium subsp. sudetica","Achillea millefolium subsp. sudetica","(Opiz) Oborny","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
110,"Achillea moschata","Achillea moschata","Achillea moschata","Wulfen","Achillea moschata","Achillea moschata","vascular"
111,"Achillea nobilis","Achillea nobilis","Achillea nobilis","L.","Achillea nobilis","Achillea nobilis","vascular"
112,"Achillea nobilis ssp. neilreichii","Achillea nobilis","Achillea nobilis","L.","Achillea nobilis","Achillea nobilis","vascular"
113,"Achillea ochroleuca","Achillea ochroleuca","Achillea ochroleuca","Ehrh.","Achillea ochroleuca","Achillea ochroleuca","vascular"
114,"Achillea oxyloba","Achillea oxyloba","Achillea oxyloba","(DC.) Sch.Bip.","Achillea oxyloba","Achillea oxyloba","vascular"
115,"Achillea pannonica","Achillea pannonica","Achillea pannonica","Scheele","Achillea pannonica","Achillea pannonica","vascular"
116,"Achillea pratensis","Achillea pratensis","Achillea pratensis","Saukel & R.Länger","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
117,"Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","L.","Achillea ptarmica","Achillea ptarmica","vascular"
118,"Achillea roseoalba","Achillea roseoalba","Achillea roseoalba","Ehrend.","Achillea roseoalba","Achillea roseoalba","vascular"
119,"Achillea setacea","Achillea setacea","Achillea setacea","Waldst. & Kit.","Achillea setacea","Achillea setacea","vascular"
120,"Achillea stricta","Achillea stricta","Achillea stricta","Schleich.","Achillea stricta","Achillea stricta","vascular"
121,"Achillea tomentosa","Achillea tomentosa","Achillea tomentosa","L.","Achillea tomentosa","Achillea tomentosa","vascular"
122,"Achillea species","Achillea","Achillea","L.","Achillea millefolium agg.","Achillea millefolium agg.","vascular"
123,"Achnatherum calamagrostis","Achnatherum calamagrostis","Achnatherum calamagrostis","(L.) P.Beauv.","Achnatherum calamagrostis","Achnatherum calamagrostis","vascular"
124,"Achnatherum species","Achnatherum","Achnatherum","P. Beauv.","Achnatherum species","Achnatherum","vascular"
125,"Acinos alpinus","Acinos alpinus","Acinos alpinus","(L.) Moench","Acinos alpinus","Acinos alpinus","vascular"
126,"Acinos arvensis","Acinos arvensis","Acinos arvensis","(Lam.) Dandy","Acinos arvensis","Acinos arvensis","vascular"
127,"Acinos arvensis ssp. arvensis","Acinos arvensis subsp. arvensis","Acinos arvensis subsp. arvensis","(L.) Kuntze","Acinos arvensis","Acinos arvensis","vascular"
128,"Acinos arvensis ssp. villosus","Acinos arvensis subsp. eglandulosus","Acinos arvensis subsp. eglandulosus","(Klokov) Tzvelev","Acinos arvensis ssp. eglandulosus","Acinos arvensis subsp. eglandulosus","vascular"
129,"Acinos species","Acinos","Acinos","Mill.","Acinos species","Acinos","vascular"
130,"Aconitum anthora","Aconitum anthora","Aconitum anthora","L.","Aconitum anthora","Aconitum anthora","vascular"
131,"Aconitum degenii","Aconitum degenii","Aconitum degenii","Gáyer","Aconitum degenii","Aconitum degenii","vascular"
132,"Aconitum degenii ssp. paniculatum","Aconitum degenii subsp. paniculatum","Aconitum degenii subsp. paniculatum","(Arcang.) Mucher","Aconitum degenii ssp. paniculatum","Aconitum degenii subsp. paniculatum","vascular"
133,"Aconitum lycoctonum","Aconitum lycoctonum","Aconitum lycoctonum","L.","Aconitum lycoctonum","Aconitum lycoctonum","vascular"
134,"Aconitum lycoctonum ssp. moldavicum","Aconitum lycoctonum subsp. moldavicum","Aconitum lycoctonum subsp. moldavicum","(Hacq.) Jalas","Aconitum lycoctonum ssp. moldavicum","Aconitum lycoctonum subsp. moldavicum","vascular"
135,"Aconitum lycoctonum ssp. ranunculifolium","Aconitum lycoctonum subsp. ranunculifolium","Aconitum lycoctonum subsp. ranunculifolium","(Rchb.) Schinz & R.Keller","Aconitum lycoctonum ssp. ranunculifolium","Aconitum lycoctonum subsp. ranunculifolium","vascular"
136,"Aconitum lycoctonum ssp. vulparia","Aconitum lycoctonum subsp. lycoctonum","Aconitum lycoctonum subsp. lycoctonum","L.","Aconitum lycoctonum","Aconitum lycoctonum","vascular"
137,"Aconitum napellus agg.","Aconitum napellus agg.","Aconitum napellus agg.","Linnaeus, 1753","Aconitum plicatum","Aconitum plicatum","vascular"
138,"Aconitum napellus","Aconitum napellus agg.","Aconitum napellus agg.","Linnaeus, 1753","Aconitum plicatum","Aconitum plicatum","vascular"
139,"Aconitum napellus ssp. formosum","Aconitum napellus subsp. formosum","Aconitum napellus subsp. formosum","(Rchb.) Gáyer","Aconitum napellus ssp. formosum","Aconitum napellus subsp. formosum","vascular"
140,"Aconitum napellus ssp. neomontanum","Aconitum napellus subsp. neomontanum","Aconitum napellus subsp. neomontanum","(Wulfen) Gáyer","Aconitum napellus ssp. neomontanum","Aconitum napellus subsp. neomontanum","vascular"
141,"Aconitum napellus ssp. vulgare","Aconitum napellus subsp. vulgare","Aconitum napellus subsp. vulgare","Rouy & Foucaud","Aconitum napellus ssp. vulgare","Aconitum napellus subsp. vulgare","vascular"
142,"Aconitum pilipes","Aconitum pilipes","Aconitum pilipes","(Rchb.) Gáyer","Aconitum pilipes","Aconitum pilipes","vascular"
143,"Aconitum tauricum","Aconitum tauricum","Aconitum tauricum","Wulfen","Aconitum tauricum","Aconitum tauricum","vascular"
144,"Aconitum variegatum agg.","Aconitum variegatum","Aconitum variegatum","L.","Aconitum variegatum","Aconitum variegatum","vascular"
145,"Aconitum variegatum","Aconitum variegatum","Aconitum variegatum","L.","Aconitum variegatum","Aconitum variegatum","vascular"
146,"Aconitum variegatum ssp. nasutum","Aconitum variegatum subsp. nasutum","Aconitum variegatum subsp. nasutum","(Fischer ex Rchb.) Götz","Aconitum variegatum ssp. nasutum","Aconitum variegatum subsp. nasutum","vascular"
147,"Aconitum variegatum ssp. variegatum","Aconitum variegatum","Aconitum variegatum","L.","Aconitum variegatum","Aconitum variegatum","vascular"
148,"Aconitum lasiocarpum","Aconitum lasiocarpum","Aconitum lasiocarpum","Rchb.","Aconitum lasiocarpum","Aconitum lasiocarpum","vascular"
149,"Aconitum napellus ssp. firmum ""firmum""","Aconitum firmum subsp. moravicum","Aconitum firmum subsp. moravicum","Skalický","Aconitum firmum ssp. moravicum","Aconitum firmum subsp. moravicum","vascular"
150,"Aconitum napellus ssp. firmum ""moravicum""","Aconitum firmum subsp. moravicum","Aconitum firmum subsp. moravicum","Skalický","Aconitum firmum ssp. moravicum","Aconitum firmum subsp. moravicum","vascular"
151,"Aconitum napellus ssp. firmum s.lat.","Aconitum firmum subsp. moravicum","Aconitum firmum subsp. moravicum","Skalický","Aconitum firmum ssp. moravicum","Aconitum firmum subsp. moravicum","vascular"
152,"Aconitu napellu ssp. hians sensu orig.","Aconitum plicatum","Aconitum plicatum","Rchb.","Aconitum plicatum","Aconitum plicatum","vascular"
153,"Aconitum species","Aconitum","Aconitum","Linnaeus, 1753","Aconitum species","Aconitum","vascular"
154,"Acorus calamus","Acorus calamus","Acorus calamus","L.","Acorus calamus","Acorus calamus","vascular"
155,"Acorus species","Acorus","Acorus","Linnaeus, 1753","Acorus species","Acorus","vascular"
156,"Acremonium rhabdosporum","Acremonium rhabdosporum","Acremonium rhabdosporum","(W.Gams) Crous","Acremonium rhabdosporum","Acremonium rhabdosporum","lichen"
157,"Acremonium species","Acremonium","Acremonium","Link, 1809","Acremonium species","Acremonium","lichen"
158,"Acrobolbus wilsonii","Acrobolbus wilsonii","Acrobolbus wilsonii","Nees","Acrobolbus wilsonii","Acrobolbus wilsonii","bryophyte"
159,"Acrobolbus species","Acrobolbus","Acrobolbus","Nees","Acrobolbus species","Acrobolbus","bryophyte"
160,"Acrocordia cavata","Acrocordia cavata","Acrocordia cavata","(Ach.) R.C.Harris","Acrocordia cavata","Acrocordia cavata","lichen"
161,"Acrocordia conoidea","Acrocordia conoidea","Acrocordia conoidea","(Fr.) Körb.","Acrocordia conoidea","Acrocordia conoidea","lichen"
162,"Acrocordia conoidea var. suzai","Acrocordia conoidea var. suzai","Acrocordia conoidea var. suzai","(Fr.) Körb.","Acrocordia conoidea var. suzai","Acrocordia conoidea var. suzai","lichen"
163,"Acrocordia gemmata","Acrocordia gemmata","Acrocordia gemmata","(Ach.) A.Massal.","Acrocordia gemmata","Acrocordia gemmata","lichen"
164,"Acrocordia species","Acrocordia","Acrocordia","A.Massal.","Acrocordia species","Acrocordia","lichen"
165,"Acroptilon repens","Rhaponticum repens","Rhaponticum repens","(L.) Hidalgo","Rhaponticum repens","Rhaponticum repens","vascular"
166,"Acroptilon species","Rhaponticum","Rhaponticum","Ludw.","Rhaponticum species","Rhaponticum","vascular"
167,"Actaea spicata","Actaea spicata","Actaea spicata","L.","Actaea spicata","Actaea spicata","vascular"
168,"Actaea species","Actaea","Actaea","Linnaeus, 1753","Actaea species","Actaea","vascular"
169,"Adelanthus decipiens","Adelanthus decipiens","Adelanthus decipiens","(Hook.) Grolle","Adelanthus decipiens","Adelanthus decipiens","bryophyte"
170,"Adelanthus lindenbergianus","Adelanthus lindenbergianus","Adelanthus lindenbergianus","(Lehm.) Mitt.","Adelanthus lindenbergianus","Adelanthus lindenbergianus","bryophyte"
171,"Adelanthus species","Adelanthus","Adelanthus","Mitt.","Adelanthus species","Adelanthus","bryophyte"
172,"Adelococcus alpestris","Adelococcus alpestris","Adelococcus alpestris","(Zopf) Theiss. & Syd.","Adelococcus alpestris","Adelococcus alpestris","lichen"
173,"Adelococcus interlatens","Adelococcus interlatens","Adelococcus interlatens","(Arnold) Matzer & Hafellner","Adelococcus interlatens","Adelococcus interlatens","lichen"
174,"Adelococcus species","Adelococcus","Adelococcus","Theiss. & Syd.","Adelococcus species","Adelococcus","lichen"
175,"Adelolecia pilati","Adelolecia pilati","Adelolecia pilati","(Hepp) Hertel & Hafellner","Adelolecia pilati","Adelolecia pilati","lichen"
176,"Adelolecia species","Adelolecia","Adelolecia","Hertel & Hafellner","Adelolecia species","Adelolecia","lichen"
177,"Adenophora liliifolia","Adenophora liliifolia","Adenophora liliifolia","(L.) A.DC.","Adenophora liliifolia","Adenophora liliifolia","vascular"
178,"Adenophora species","Adenophora","Adenophora","Fisch.","Adenophora species","Adenophora","vascular"
179,"Adenostyles alliariae","Adenostyles alliariae","Adenostyles alliariae","(Gouan) A.Kern.","Adenostyles alliariae","Adenostyles alliariae","vascular"
180,"Adenostyles glabra","Adenostyles glabra","Adenostyles glabra","(Mill.) DC.","Adenostyles glabra","Adenostyles glabra","vascular"
181,"Adenostyles leucophylla","Adenostyles leucophylla","Adenostyles leucophylla","(Willd.) Rchb.","Adenostyles leucophylla","Adenostyles leucophylla","vascular"
182,"Adenostyles species","Adenostyles","Adenostyles","Cass.","Adenostyles species","Adenostyles","vascular"
183,"Adonis aestivalis","Adonis aestivalis","Adonis aestivalis","L.","Adonis aestivalis","Adonis aestivalis","vascular"
184,"Adonis annua","Adonis annua","Adonis annua","L.","Adonis annua","Adonis annua","vascular"
185,"Adonis flammea","Adonis flammea","Adonis flammea","Jacq.","Adonis flammea","Adonis flammea","vascular"
186,"Adonis vernalis","Adonis vernalis","Adonis vernalis","L.","Adonis vernalis","Adonis vernalis","vascular"
187,"Adonis species","Adonis","Adonis","Linnaeus, 1753","Adonis species","Adonis","vascular"
188,"Adoxa moschatellina","Adoxa moschatellina","Adoxa moschatellina","L.","Adoxa moschatellina","Adoxa moschatellina","vascular"
189,"Adoxa species","Adoxa","Adoxa","Linnaeus, 1753","Adoxa species","Adoxa","vascular"
190,"Aegilops cylindrica","Aegilops cylindrica","Aegilops cylindrica","Host","Aegilops cylindrica","Aegilops cylindrica","vascular"
191,"Aegilops geniculata","Aegilops geniculata","Aegilops geniculata","Roth","Aegilops geniculata","Aegilops geniculata","vascular"
192,"Aegilops species","Aegilops","Aegilops","Req. ex Bertol.Lambinon, 1834","Aegilops species","Aegilops","vascular"
193,"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","L.","Aegopodium podagraria","Aegopodium podagraria","vascular"
194,"Aegopodium species","Aegopodium","Aegopodium","Linnaeus, 1753","Aegopodium species","Aegopodium","vascular"
195,"Aesculus hippocastanum","Aesculus hippocastanum","Aesculus hippocastanum","L.","Aesculus hippocastanum","Aesculus hippocastanum","vascular"
196,"Aesculus species","Aesculus","Aesculus","L.","Aesculus species","Aesculus","vascular"
197,"Aethionema saxatile","Aethionema saxatile","Aethionema saxatile","(L.) R.Br.","Aethionema saxatile","Aethionema saxatile","vascular"
198,"Aethionema species","Aethionema","Aethionema","W. T. Aiton","Aethionema species","Aethionema","vascular"
