"SPECIES_NR","TURBOVEG_NAME","KAPLAN_PLUS_NAME","KAPLAN_PLUS_NAME_SIMPLE","AUTHORSHIP","CZECHVEG_ESY_NAME","CZECHVEG_ESY_NAME_SUBSP","PLANT_GROUP"
1479,"Brachythecium turgidum","Brachythecium turgidum","Brachythecium turgidum","(Hartm.) Kindb.","Brachythecium turgidum","Brachythecium turgidum","bryophyte"
1480,"Brachythecium velutinum","Brachytheciastrum velutinum","Brachytheciastrum velutinum","(Hedw.) Ignatov & Huttunen","Brachytheciastrum velutinum","Brachytheciastrum velutinum","bryophyte"
1481,"Brachythecium velutinum var. salicinum","Brachythecium velutinum var. salicinum","Brachythecium velutinum var. salicinum","(Schimp.) Orgaz, M.J.Cano & J.Guerra","Brachythecium velutinum var. salicinum","Brachythecium velutinum var. salicinum","bryophyte"
1482,"Brachythecium velutinum var. velutinum","Brachythecium velutinum var. velutinum","Brachythecium velutinum var. velutinum","(Hedw.) Ignatov & Huttunen","Brachythecium velutinum var. velutinum","Brachythecium velutinum var. velutinum","bryophyte"
1483,"Brachythecium species","Brachythecium","Brachythecium","Schimp.","Brachythecium species","Brachythecium","bryophyte"
1484,"Brassica elongata","Brassica elongata","Brassica elongata","Ehrh.","Brassica elongata","Brassica elongata","vascular"
1485,"Brassica elongata ssp. elongata","Brassica elongata subsp. elongata","Brassica elongata subsp. elongata","Ehrh.","Brassica elongata ssp. elongata","Brassica elongata subsp. elongata","vascular"
1486,"Brassica elongata ssp. integrifolia","Brassica elongata subsp. integrifolia","Brassica elongata subsp. integrifolia","(Boiss.) Breistr.","Brassica elongata ssp. integrifolia","Brassica elongata subsp. integrifolia","vascular"
1487,"Brassica juncea","Brassica juncea","Brassica juncea","(L.) Czern.","Brassica juncea","Brassica juncea","vascular"
1488,"Brassica napus","Brassica napus","Brassica napus","L.","Brassica napus","Brassica napus","vascular"
1489,"Brassica nigra","Brassica nigra","Brassica nigra","(L.) W.D.J.Koch","Brassica nigra","Brassica nigra","vascular"
1490,"Brassica oleracea","Brassica oleracea","Brassica oleracea","L.","Brassica napus","Brassica napus","vascular"
1491,"Brassica rapa","Brassica rapa","Brassica rapa","L.","Brassica rapa","Brassica rapa","vascular"
1492,"Brassica species","Brassica","Brassica","L.","Brassica species","Brassica","vascular"
1493,"Braunia alopecura","Braunia alopecura","Braunia alopecura","(Brid.) Limpr.","Braunia alopecura","Braunia alopecura","bryophyte"
1494,"Braunia species","Braunia","Braunia","Bruch & Schimp.","Braunia species","Braunia","bryophyte"
1495,"Braya alpina","Braya alpina","Braya alpina","Sternb. & Hoppe","Braya alpina","Braya alpina","vascular"
1496,"Braya species","Braya","Braya","Sternb. & Hoppe","Braya species","Braya","vascular"
1497,"Breutelia chrysocoma","Breutelia chrysocoma","Breutelia chrysocoma","(Hedw.) Lindb.","Breutelia chrysocoma","Breutelia chrysocoma","bryophyte"
1498,"Breutelia species","Breutelia","Breutelia","(Bruch & Schimp.) Schimp.","Breutelia species","Breutelia","bryophyte"
1499,"Briza media","Briza media","Briza media","L.","Briza media","Briza media","vascular"
1500,"Briza minor","Briza minor","Briza minor","L.","Briza minor","Briza minor","vascular"
1501,"Briza species","Briza","Briza","L.","Briza species","Briza","vascular"
1502,"Brodoa atrofusca","Brodoa atrofusca","Brodoa atrofusca","(Schaer.) Goward","Brodoa atrofusca","Brodoa atrofusca","lichen"
1503,"Brodoa intestiniformis","Brodoa intestiniformis","Brodoa intestiniformis","(Vill.) Goward","Brodoa intestiniformis","Brodoa intestiniformis","lichen"
1504,"Brodoa species","Brodoa","Brodoa","Goward","Brodoa species","Brodoa","lichen"
1505,"Bromus arvensis","Bromus arvensis","Bromus arvensis","L.","Bromus arvensis","Bromus arvensis","vascular"
1506,"Bromus benekenii","Bromus benekenii","Bromus benekenii","(Lange) Trimen","Bromus ramosus agg.","Bromus ramosus agg.","vascular"
1507,"Bromus briziformis","Bromus briziformis","Bromus briziformis","Fisch. & C.A.Mey.","Bromus briziformis","Bromus briziformis","vascular"
1508,"Bromus carinatus","Bromus carinatus","Bromus carinatus","Hook. & Arn.","Bromus carinatus","Bromus carinatus","vascular"
1509,"Bromus commutatus","Bromus commutatus","Bromus commutatus","Schrad.","Bromus commutatus","Bromus commutatus","vascular"
1510,"Bromus erectus agg.","Bromus erectus","Bromus erectus","Huds.","Bromus erectus","Bromus erectus","vascular"
1511,"Bromus erectus","Bromus erectus","Bromus erectus","Huds.","Bromus erectus","Bromus erectus","vascular"
1512,"Bromus grossus","Bromus grossus","Bromus grossus","Desf. ex DC.","Bromus grossus","Bromus grossus","vascular"
