NameOrig,NameKaplan,Rank,light,temperature,moisture,reaction,nutrients,salinity,light_x,temperature_x,moisture_x,reaction_x,nutrients_x
Sisymbrium irio,Sisymbrium irio,species,8,8,3,7,6,0,8,8,3,7,6
Sisymbrium loeselii,Sisymbrium loeselii,species,7,6,4,7,7,0,7,6,4,7,7
Sisymbrium officinale,Sisymbrium officinale,species,8,6,5,7,8,1,8,6,5,x,8
Sisymbrium orientale,Sisymbrium orientale,species,8,7,4,8,6,0,8,7,4,8,6
Sisymbrium orientale ssp. macroloma,Sisymbrium orientale subsp. macroloma,subspecies,8,7,4,8,6,0,8,7,4,8,6
Sisymbrium orientale ssp. orientale,Sisymbrium orientale subsp. orientale,subspecies,8,7,4,8,6,0,8,7,4,8,6
Sisymbrium strictissimum,Sisymbrium strictissimum,species,6,7,6,7,7,0,6,7,6,7,7
Sisymbrium volgense,Sisymbrium volgense,species,8,6,3,7,6,1,8,6,3,7,6
Sisyrinchium montanum,Sisyrinchium montanum,species,7,5,8,6,3,0,7,5,8,6,3
Sium latifolium,Sium latifolium,species,7,6,10,7,7,0,7,6,10,7,7
Smyrnium perfoliatum,Smyrnium perfoliatum,species,4,7,5,8,6,0,4,7,5,8,6
Solanum decipiens,Solanum decipiens,species,7,6,5,7,8,1,7,6,5,7,8
Solanum dulcamara,Solanum dulcamara,species,6,5,9,6,8,1,x,5,9,x,8
Solanum lycopersicum,Solanum lycopersicum,species,7,6,6,7,7,1,7,6,6,7,7
Solanum nigrum,Solanum nigrum,species,7,6,5,7,8,1,7,6,5,7,8
Solanum nigrum agg.,Solanum nigrum agg.,aggregate,7,6,5,7,8,1,7,6,5,7,8
Soldanella montana,Soldanella montana,species,5,4,6,2,3,0,5,4,6,2,3
Solidago canadensis,Solidago canadensis,species,7,6,5,6,6,0,7,6,x,x,6
Solidago gigantea,Solidago gigantea,species,7,6,6,6,7,0,7,6,6,x,7
Solidago virgaurea,Solidago virgaurea,species,6,5,5,5,4,0,6,5,5,x,4
Solidago virgaurea ssp. minuta,Solidago virgaurea subsp. minuta,subspecies,7,4,5,4,4,0,7,4,5,4,4
Solidago virgaurea ssp. virgaurea,Solidago virgaurea subsp. virgaurea,subspecies,5,5,5,5,4,0,5,5,5,x,4
Sonchus arvensis,Sonchus arvensis,species,7,5,5,7,7,1,7,5,5,7,x
Sonchus arvensis ssp. arvensis,Sonchus arvensis subsp. arvensis,subspecies,7,5,5,7,7,1,7,5,5,7,x
Sonchus asper,Sonchus asper,species,7,6,5,7,7,1,7,6,5,7,7
Sonchus oleraceus,Sonchus oleraceus,species,7,6,5,7,8,1,7,6,5,7,8
Sonchus palustris,Sonchus palustris,species,7,6,8,7,7,2,7,6,8,7,7
Sorbus aria,Sorbus aria,species,6,5,4,7,3,0,6,5,4,7,3
Sorbus aria agg.,Sorbus aria agg.,aggregate,6,6,4,7,3,0,6,6,4,7,3
Sorbus aucuparia,Sorbus aucuparia,species,6,5,5,4,4,0,x,5,x,4,x
Sorbus aucuparia var. aucuparia,Sorbus aucuparia var. aucuparia,variant,6,5,5,4,4,0,x,5,x,4,4
Sorbus aucuparia var. glabrata,Sorbus aucuparia var. glabrata,variant,6,3,5,4,4,0,x,3,x,4,4
Sorbus danubialis,Sorbus danubialis,species,6,6,3,8,3,0,6,6,3,8,3
Sorbus domestica,Sorbus domestica,species,4,7,4,8,5,0,4,7,4,8,5
Sorbus sudetica,Sorbus sudetica,species,7,3,5,5,3,0,7,3,5,5,3
Sorbus torminalis,Sorbus torminalis,species,4,7,4,7,4,0,4,7,4,7,4
Sorghum halepense,Sorghum halepense,species,8,7,6,7,7,1,8,7,6,7,7
Sparganium angustifolium,Sparganium angustifolium,species,7,4,11,3,1,0,7,4,11,3,1
Sparganium emersum,Sparganium emersum,species,7,6,10,6,7,1,7,6,10,6,7
Sparganium erectum,Sparganium erectum,species,7,6,10,7,7,1,7,6,10,7,7
Sparganium erectum ssp. erectum,Sparganium erectum subsp. erectum,subspecies,7,6,10,7,7,1,7,6,10,7,7
Sparganium erectum ssp. microcarpum,Sparganium erectum subsp. microcarpum,subspecies,7,6,10,7,7,1,7,6,10,7,7
Sparganium erectum ssp. neglectum,Sparganium erectum subsp. neglectum,subspecies,7,6,10,7,7,1,7,6,10,7,7
Sparganium erectum ssp. oocarpum,Sparganium erectum subsp. oocarpum,subspecies,7,6,10,7,7,1,7,6,10,7,7
Sparganium natans,Sparganium natans,species,7,5,11,4,3,0,7,5,11,4,3
Spergula arvensis,Spergula arvensis,species,6,5,5,4,6,0,6,5,5,4,6
Spergula arvensis ssp. arvensis,Spergula arvensis subsp. arvensis,subspecies,6,5,5,4,6,0,6,5,5,4,6
Spergula morisonii,Spergula morisonii,species,9,6,2,3,2,0,9,6,2,x,2
Spergula pentandra,Spergula pentandra,species,9,6,2,4,2,0,9,6,2,4,2
Spergularia echinosperma,Spergularia echinosperma,species,8,6,8,5,6,0,8,6,8,5,6
Spergularia kurkae,Spergularia kurkae,species,8,6,8,5,6,0,8,6,8,5,6
Spergularia marina,Spergularia marina,species,8,6,7,8,5,7,8,6,7,8,x
Spergularia media,Spergularia media,species,8,6,7,8,5,8,8,6,7,8,5
Spergularia rubra,Spergularia rubra,species,8,5,5,4,4,1,8,5,5,4,4
Spiraea salicifolia,Spiraea salicifolia,species,7,6,8,5,5,0,7,6,8,5,5
Spiranthes spiralis,Spiranthes spiralis,species,7,5,5,5,3,0,7,5,5,5,3
Spirodela polyrhiza,Spirodela polyrhiza,species,7,6,11,6,7,1,7,6,11,6,7
Stachys alpina,Stachys alpina,species,6,4,5,7,7,0,6,4,5,7,7
Stachys alpina ssp. alpina,Stachys alpina subsp. alpina,subspecies,6,4,5,7,7,0,6,4,5,7,7
Stachys annua,Stachys annua,species,7,6,3,8,5,0,7,6,3,8,5
Stachys arvensis,Stachys arvensis,species,7,6,5,3,6,0,7,6,5,3,6
Stachys germanica,Stachys germanica,species,7,7,3,7,5,0,7,7,3,7,5
Stachys germanica ssp. germanica,Stachys germanica subsp. germanica,subspecies,7,7,3,7,5,0,7,7,3,7,5
Stachys palustris,Stachys palustris,species,7,5,7,7,7,1,7,5,7,7,7
Stachys recta,Stachys recta,species,7,6,3,8,3,0,7,6,3,8,3
Stachys recta ssp. recta,Stachys recta subsp. recta,subspecies,7,6,3,8,3,0,7,6,3,8,3
Stachys sylvatica,Stachys sylvatica,species,4,5,7,7,7,0,4,5,7,7,7
Staphylea pinnata,Staphylea pinnata,species,5,7,5,8,5,0,5,7,5,8,5
Stellaria alsine,Stellaria alsine,species,5,5,8,4,4,0,5,5,8,4,4
Stellaria graminea,Stellaria graminea,species,6,5,5,5,5,1,6,x,5,5,5
Stellaria holostea,Stellaria holostea,species,5,6,5,6,5,0,5,6,5,6,5
Stellaria longifolia,Stellaria longifolia,species,4,4,7,3,3,0,4,4,7,3,3
Stellaria media,Stellaria media,species,6,5,5,6,8,1,6,x,x,6,8
Stellaria media agg.,Stellaria media agg.,aggregate,6,5,5,6,8,1,6,x,x,6,8
Stellaria neglecta,Stellaria neglecta,species,6,6,5,6,7,1,6,x,x,6,7
Stellaria nemorum,Stellaria nemorum,species,4,5,7,5,7,0,4,x,7,5,7
Stellaria pallida,Stellaria pallida,species,7,6,4,6,6,1,7,x,x,6,6
Stellaria palustris,Stellaria palustris,species,6,5,9,6,4,0,6,5,9,6,4
Stipa borysthenica,Stipa borysthenica,species,9,7,2,5,2,0,9,7,2,5,2
Stipa capillata,Stipa capillata,species,9,7,2,8,2,0,9,7,2,8,2
Stipa dasyphylla,Stipa dasyphylla,species,9,7,2,7,2,0,9,7,2,7,2
Stipa eriocaulis,Stipa eriocaulis,species,9,8,1,9,2,0,9,8,1,9,x
Stipa glabrata,Stipa glabrata,species,8,7,2,8,2,0,8,7,2,8,2
Stipa pennata,Stipa pennata,species,8,7,2,7,2,0,8,7,2,7,2
Stipa pennata agg.,Stipa pennata agg.,aggregate,9,7,2,7,2,0,9,7,2,7,2
Stipa pennata var. pennata,Stipa pennata var. pennata,variant,8,7,2,7,2,0,8,7,2,7,2
Stipa pennata var. puberula,Stipa pennata var. puberula,variant,8,7,2,7,2,0,8,7,2,7,2
Stipa pulcherrima,Stipa pulcherrima,species,9,7,2,8,2,0,9,7,2,8,2
Stipa smirnovii,Stipa smirnovii,species,9,7,2,8,2,0,9,7,2,8,2
Stipa tirsa,Stipa tirsa,species,8,7,3,7,3,0,8,7,3,7,3
Stratiotes aloides,Stratiotes aloides,species,7,7,11,8,6,0,7,7,11,8,6
Streptopus amplexifolius,Streptopus amplexifolius,species,4,3,6,5,6,0,4,3,6,5,6
Stuckenia pectinata,Stuckenia pectinata,species,6,6,12,7,7,1,6,6,12,7,7
Suaeda prostrata,Suaeda prostrata,species,9,8,7,8,5,9,9,8,7,8,5
Succisa pratensis,Succisa pratensis,species,7,5,7,5,3,0,7,5,7,x,3
Swertia perennis,Swertia perennis,species,7,3,9,5,3,0,7,3,9,5,3
Swertia perennis ssp. perennis,Swertia perennis subsp. perennis,subspecies,7,3,9,5,3,0,7,3,9,5,3
Symphoricarpos albus,Symphoricarpos albus,species,5,5,5,7,7,0,5,5,5,7,7
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,species,6,6,7,7,8,1,6,6,7,x,8
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,species,6,6,5,7,7,0,6,6,5,7,7
Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,species,6,6,5,7,8,1,6,6,5,7,8
Symphyotrichum novi-belgii agg.,Symphyotrichum novi-belgii agg.,aggregate,6,6,6,7,8,1,6,6,6,7,8
Symphytum bohemicum,Symphytum bohemicum,species,7,6,8,7,7,1,7,6,8,7,7
Symphytum officinale,Symphytum officinale,species,7,6,7,7,8,1,7,6,7,x,8
Symphytum officinale agg.,Symphytum officinale agg.,aggregate,7,6,7,7,8,1,7,6,7,x,8
Symphytum tuberosum,Symphytum tuberosum,species,4,6,5,7,6,0,4,6,5,7,6
Symphytum tuberosum ssp. angustifolium,Symphytum tuberosum subsp. angustifolium,subspecies,4,6,5,7,5,0,4,6,5,7,5
Symphytum tuberosum ssp. tuberosum,Symphytum tuberosum subsp. tuberosum,subspecies,4,5,5,7,6,0,4,5,5,7,6
Syringa vulgaris,Syringa vulgaris,species,7,7,4,7,6,0,7,7,4,7,6
Tanacetum corymbosum,Tanacetum corymbosum,species,6,7,4,7,4,0,6,7,4,7,4
Tanacetum parthenium,Tanacetum parthenium,species,7,6,5,7,7,1,7,6,5,7,7
Tanacetum vulgare,Tanacetum vulgare,species,7,6,5,7,6,1,7,6,5,7,6
Taraxacum bessarabicum,Taraxacum bessarabicum,species,9,7,6,8,5,8,9,7,6,8,5
Taraxacum sect. Alpestria,Taraxacum sect. Alpestria,section,7,3,5,7,6,0,7,3,5,7,6
Taraxacum sect. Celtica,Taraxacum sect. Celtica,section,8,6,7,4,3,0,8,6,7,4,3
Taraxacum sect. Dioszegia,Taraxacum sect. Dioszegia,section,9,8,3,8,3,0,9,8,3,8,3
Taraxacum sect. Erythrosperma,Taraxacum sect. Erythrosperma,section,8,6,3,7,3,0,8,6,3,7,3
Taraxacum sect. Palustria,Taraxacum sect. Palustria,section,8,5,8,8,3,1,8,x,8,8,3
Taraxacum sect. Piesis,Taraxacum sect. Piesis,section,9,7,6,8,5,8,9,7,6,8,5
Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,section,7,5,5,7,7,1,7,x,5,x,7
Taraxacum serotinum,Taraxacum serotinum,species,9,8,3,8,3,0,9,8,3,8,3
Taxus baccata,Taxus baccata,species,4,5,5,7,5,0,4,5,5,7,x
Teesdalia nudicaulis,Teesdalia nudicaulis,species,8,6,3,2,2,0,8,6,3,2,2
Telekia speciosa,Telekia speciosa,species,5,5,7,7,7,0,5,5,7,7,7
