NameOrig,NameKaplan,Rank,light,temperature,moisture,reaction,nutrients,salinity,light_x,temperature_x,moisture_x,reaction_x,nutrients_x
Abies alba,Abies alba,species,3,5,6,5,6,0,3,5,x,x,x
Abutilon theophrasti,Abutilon theophrasti,species,8,8,5,7,7,1,8,8,5,7,7
Acer campestre,Acer campestre,species,5,6,5,7,6,0,x,6,5,7,6
Acer monspessulanum,Acer monspessulanum,species,6,8,3,8,4,0,6,8,3,8,4
Acer negundo,Acer negundo,species,6,6,6,7,7,1,6,6,6,7,7
Acer platanoides,Acer platanoides,species,4,6,5,7,6,0,4,6,x,x,x
Acer pseudoplatanus,Acer pseudoplatanus,species,4,5,6,6,7,0,4,5,6,x,7
Acinos arvensis,Acinos arvensis,species,9,7,2,7,2,0,9,7,2,7,2
Acinos arvensis ssp. arvensis,Acinos arvensis subsp. arvensis,subspecies,9,7,2,7,2,0,9,7,2,7,2
Acinos arvensis ssp. eglandulosus,Acinos arvensis subsp. eglandulosus,subspecies,9,7,2,7,2,0,9,7,2,7,2
Aconitum anthora,Aconitum anthora,species,7,7,4,7,4,0,7,7,4,7,4
Aconitum firmum,Aconitum firmum,species,5,4,7,6,6,0,5,4,7,6,6
Aconitum firmum ssp. moravicum,Aconitum firmum subsp. moravicum,subspecies,5,4,7,6,6,0,5,4,7,6,6
Aconitum lycoctonum,Aconitum lycoctonum,species,4,5,7,7,7,0,4,5,7,7,7
Aconitum lycoctonum ssp. lycoctonum,Aconitum lycoctonum subsp. lycoctonum,subspecies,4,5,7,7,7,0,4,5,7,7,7
Aconitum lycoctonum ssp. vulparia,Aconitum lycoctonum subsp. vulparia,subspecies,4,5,7,7,7,0,4,5,7,7,7
Aconitum napellus agg.,Aconitum napellus agg.,aggregate,6,3,7,6,6,0,6,3,7,6,6
Aconitum plicatum,Aconitum plicatum,species,6,3,7,6,6,0,6,3,7,6,6
Aconitum variegatum,Aconitum variegatum,species,5,4,7,7,7,0,5,4,7,7,7
Acorus calamus,Acorus calamus,species,8,6,10,7,7,1,8,6,10,7,7
Actaea europaea,Actaea europaea,species,4,5,5,8,7,0,4,5,5,8,7
Actaea spicata,Actaea spicata,species,3,5,5,6,7,0,3,5,5,6,7
Adenophora liliifolia,Adenophora liliifolia,species,6,6,5,7,5,0,6,6,5,7,5
Adenostyles alliariae,Adenostyles alliariae,species,5,3,6,5,7,0,5,3,6,x,7
Adenostyles alliariae ssp. alliariae,Adenostyles alliariae subsp. alliariae,subspecies,5,3,6,5,7,0,5,3,6,x,7
Adonis aestivalis,Adonis aestivalis,species,8,7,3,8,5,0,8,7,3,8,5
Adonis aestivalis ssp. aestivalis,Adonis aestivalis subsp. aestivalis,subspecies,8,7,3,8,5,0,8,7,3,8,5
Adonis flammea,Adonis flammea,species,8,7,3,8,4,0,8,7,3,8,4
Adonis vernalis,Adonis vernalis,species,8,7,3,8,2,0,8,7,3,8,2
Adoxa moschatellina,Adoxa moschatellina,species,3,5,6,7,8,0,3,5,6,7,8
Aegopodium podagraria,Aegopodium podagraria,species,6,5,6,7,8,1,x,x,6,7,8
Aesculus hippocastanum,Aesculus hippocastanum,species,4,6,5,6,7,0,4,6,5,6,7
Aethusa cynapium,Aethusa cynapium,species,6,5,5,7,7,0,6,5,5,7,7
Aethusa cynapium ssp. cynapium,Aethusa cynapium subsp. cynapium,subspecies,7,5,5,7,7,0,7,5,5,7,7
Aethusa cynapium ssp. elata,Aethusa cynapium subsp. elata,subspecies,5,5,6,7,8,0,5,5,6,7,8
Agrimonia eupatoria,Agrimonia eupatoria,species,7,6,4,8,4,1,7,6,4,8,4
Agrimonia eupatoria ssp. eupatoria,Agrimonia eupatoria subsp. eupatoria,subspecies,7,6,4,8,4,1,7,6,4,8,4
Agrimonia procera,Agrimonia procera,species,6,6,5,6,5,0,6,6,5,6,5
Agropyron pectinatum,Agropyron pectinatum,species,9,8,2,8,3,0,9,8,2,8,3
Agrostemma githago,Agrostemma githago,species,7,6,4,6,6,0,7,6,x,x,x
Agrostis alpina,Agrostis alpina,species,8,2,5,6,4,0,8,2,5,6,4
Agrostis canina,Agrostis canina,species,7,5,9,3,2,0,7,5,9,3,2
Agrostis canina agg.,Agrostis canina agg.,aggregate,7,6,6,3,2,0,7,6,6,3,2
Agrostis capillaris,Agrostis capillaris,species,7,5,4,4,4,0,7,x,x,4,4
Agrostis gigantea,Agrostis gigantea,species,7,5,6,7,6,1,7,5,6,7,6
Agrostis rupestris,Agrostis rupestris,species,8,2,4,2,1,0,8,2,4,2,1
Agrostis rupestris ssp. rupestris,Agrostis rupestris subsp. rupestris,subspecies,8,2,4,2,1,0,8,2,4,2,1
Agrostis stolonifera,Agrostis stolonifera,species,7,5,7,6,5,1,7,x,7,x,5
Agrostis stolonifera agg.,Agrostis stolonifera agg.,aggregate,7,5,7,6,5,1,7,x,7,x,5
Agrostis vinealis,Agrostis vinealis,species,8,6,3,3,2,0,8,6,3,3,2
Achillea asplenifolia,Achillea asplenifolia,species,8,7,6,7,6,3,8,7,6,7,6
Achillea collina,Achillea collina,species,7,6,4,5,4,1,7,6,4,5,4
Achillea millefolium,Achillea millefolium,species,7,5,5,6,5,1,7,x,5,x,5
Achillea millefolium agg.,Achillea millefolium agg.,aggregate,7,5,5,6,5,1,7,x,5,x,5
Achillea millefolium ssp. millefolium,Achillea millefolium subsp. millefolium,subspecies,7,5,5,6,5,1,7,x,5,x,5
Achillea millefolium ssp. sudetica,Achillea millefolium subsp. sudetica,subspecies,7,4,5,6,5,0,7,4,5,x,5
Achillea nobilis,Achillea nobilis,species,8,7,3,8,2,0,8,7,3,8,2
Achillea pannonica,Achillea pannonica,species,8,7,3,8,3,1,8,7,3,8,3
Achillea pratensis,Achillea pratensis,species,7,5,5,5,6,1,7,5,5,5,6
Achillea ptarmica,Achillea ptarmica,species,7,5,8,4,4,0,7,5,8,4,4
Achillea setacea,Achillea setacea,species,9,7,2,7,2,0,9,7,2,7,2
Achillea styriaca,Achillea styriaca,species,7,6,4,6,4,0,7,6,4,6,4
Ailanthus altissima,Ailanthus altissima,species,7,8,5,7,7,1,7,8,5,7,7
Aira caryophyllea,Aira caryophyllea,species,9,6,2,4,2,0,9,6,2,4,2
Aira praecox,Aira praecox,species,8,6,3,2,2,0,8,6,3,2,2
Ajuga genevensis,Ajuga genevensis,species,7,6,4,7,3,0,7,x,4,7,3
Ajuga chamaepitys,Ajuga chamaepitys,species,8,8,3,8,4,0,8,8,3,8,4
Ajuga chamaepitys ssp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,subspecies,8,8,3,8,4,0,8,8,3,8,4
Ajuga pyramidalis,Ajuga pyramidalis,species,7,5,5,1,2,0,7,5,5,1,2
Ajuga reptans,Ajuga reptans,species,5,5,6,6,6,0,5,x,6,6,6
Alcea biennis,Alcea biennis,species,8,7,4,8,4,1,8,7,4,8,4
Alcea biennis ssp. biennis,Alcea biennis subsp. biennis,subspecies,8,7,4,8,4,1,8,7,4,8,4
Aldrovanda vesiculosa,Aldrovanda vesiculosa,species,5,8,12,7,4,0,5,8,12,7,4
Alchemilla crinita,Alchemilla crinita,species,7,3,6,5,4,0,7,3,6,x,4
Alchemilla glabra,Alchemilla glabra,species,6,4,5,6,6,0,6,4,5,6,6
Alchemilla glaucescens,Alchemilla glaucescens,species,7,6,5,4,4,0,7,6,5,4,4
Alchemilla monticola,Alchemilla monticola,species,6,5,5,6,4,0,6,5,5,6,4
Alchemilla subcrenata,Alchemilla subcrenata,species,7,4,5,5,6,0,7,4,5,5,6
Alchemilla vulgaris,Alchemilla vulgaris,species,6,4,5,6,6,0,6,4,5,6,6
Alchemilla xanthochlora,Alchemilla xanthochlora,species,6,4,7,7,4,0,6,4,7,7,x
Alisma gramineum,Alisma gramineum,species,7,7,11,7,5,1,7,7,11,7,5
Alisma lanceolatum,Alisma lanceolatum,species,7,7,10,7,7,1,7,7,10,7,7
Alisma plantago-aquatica,Alisma plantago-aquatica,species,7,5,10,7,8,1,7,5,10,x,8
Alliaria petiolata,Alliaria petiolata,species,5,6,5,7,8,0,x,6,5,7,8
Allium angulosum,Allium angulosum,species,7,7,8,7,5,2,7,7,8,7,5
Allium carinatum,Allium carinatum,species,7,5,5,7,4,1,7,5,5,7,4
Allium flavum,Allium flavum,species,8,7,2,7,2,0,8,7,2,7,2
Allium flavum ssp. flavum,Allium flavum subsp. flavum,subspecies,8,7,2,7,2,0,8,7,2,7,2
Allium oleraceum,Allium oleraceum,species,6,6,4,7,4,0,6,6,4,7,4
Allium paradoxum,Allium paradoxum,species,6,6,5,7,7,0,6,6,5,7,7
Allium paradoxum var. normale,Allium paradoxum var. normale,variant,6,6,5,7,7,0,6,6,5,7,7
Allium paradoxum var. paradoxum,Allium paradoxum var. paradoxum,variant,6,6,5,7,7,0,6,6,5,7,7
Allium rotundum,Allium rotundum,species,7,7,4,8,4,0,7,7,4,8,4
Allium rotundum ssp. rotundum,Allium rotundum subsp. rotundum,subspecies,7,7,4,8,4,0,7,7,4,8,4
Allium sativum,Allium sativum,species,8,7,5,7,6,1,8,7,5,7,6
Allium scorodoprasum,Allium scorodoprasum,species,6,6,6,7,7,0,6,6,6,7,7
Allium senescens,Allium senescens,species,8,7,2,6,3,0,8,7,2,6,3
Allium senescens ssp. montanum,Allium senescens subsp. montanum,subspecies,8,7,2,6,3,0,8,7,2,6,3
Allium schoenoprasum,Allium schoenoprasum,species,7,5,7,6,4,0,7,5,x,6,4
Allium schoenoprasum ssp. schoenoprasum,Allium schoenoprasum subsp. schoenoprasum,subspecies,7,5,7,6,4,0,7,5,x,6,4
Allium sphaerocephalon,Allium sphaerocephalon,species,8,8,3,8,3,0,8,8,3,8,3
Allium sphaerocephalon ssp. sphaerocephalon,Allium sphaerocephalon subsp. sphaerocephalon,subspecies,8,8,3,8,3,0,8,8,3,8,3
Allium strictum,Allium strictum,species,9,6,2,7,2,0,9,6,2,7,2
Allium ursinum,Allium ursinum,species,3,6,6,7,8,0,3,6,6,7,8
Allium ursinum ssp. ucrainicum,Allium ursinum subsp. ucrainicum,subspecies,3,6,6,7,8,0,3,6,6,7,8
Allium ursinum ssp. ursinum,Allium ursinum subsp. ursinum,subspecies,3,6,6,7,8,0,3,6,6,7,8
Allium victorialis,Allium victorialis,species,6,3,5,6,5,0,6,3,5,6,5
Allium vineale,Allium vineale,species,6,7,4,7,6,1,6,7,4,x,6
Alnus alnobetula,Alnus alnobetula,species,7,3,6,4,5,0,7,3,6,4,5
Alnus glutinosa,Alnus glutinosa,species,5,5,9,6,7,1,x,5,9,6,7
Alnus incana,Alnus incana,species,5,4,7,6,6,0,x,4,7,6,6
Alnus incana ssp. incana,Alnus incana subsp. incana,subspecies,5,4,7,6,6,0,x,4,7,6,6
Alopecurus aequalis,Alopecurus aequalis,species,8,5,9,6,8,2,8,5,9,x,8
Alopecurus geniculatus,Alopecurus geniculatus,species,8,6,9,7,7,1,8,6,9,7,7
Alopecurus myosuroides,Alopecurus myosuroides,species,7,6,5,7,7,0,7,6,5,7,7
Alopecurus pratensis,Alopecurus pratensis,species,7,5,6,6,7,1,7,x,6,6,7
Althaea hirsuta,Althaea hirsuta,species,7,8,4,8,3,1,7,8,4,8,3
Althaea officinalis,Althaea officinalis,species,7,7,7,8,6,4,7,7,7,8,6
Alyssum alyssoides,Alyssum alyssoides,species,9,6,3,8,3,0,9,6,3,8,3
Alyssum montanum,Alyssum montanum,species,9,7,2,8,2,0,9,7,2,8,2
Alyssum montanum ssp. gmelinii,Alyssum montanum subsp. gmelinii,subspecies,9,7,2,8,2,0,9,7,2,8,2
Amaranthus albus,Amaranthus albus,species,9,8,3,7,7,1,9,8,3,x,7
Amaranthus blitoides,Amaranthus blitoides,species,9,8,3,7,7,1,9,8,3,x,7
Amaranthus blitum,Amaranthus blitum,species,8,8,4,7,8,1,8,8,4,x,8
Amaranthus blitum ssp. blitum,Amaranthus blitum subsp. blitum,subspecies,8,8,4,7,8,1,8,8,4,x,8
Amaranthus crispus,Amaranthus crispus,species,9,8,4,6,7,1,9,8,4,6,7
Amaranthus deflexus,Amaranthus deflexus,species,8,9,4,7,8,1,8,9,4,7,8
Amaranthus graecizans,Amaranthus graecizans,species,9,9,3,7,8,1,9,9,3,7,8
Amaranthus graecizans ssp. graecizans,Amaranthus graecizans subsp. graecizans,subspecies,9,9,3,7,8,1,9,9,3,7,8
Amaranthus graecizans ssp. thellungianus,Amaranthus graecizans subsp. thellungianus,subspecies,9,9,3,7,8,1,9,9,3,7,8
Amaranthus hybridus,Amaranthus hybridus,species,8,8,4,7,7,1,8,8,4,7,7
Amaranthus hybridus agg.,Amaranthus hybridus agg.,aggregate,8,8,4,7,7,1,8,8,4,7,7
Amaranthus hypochondriacus,Amaranthus hypochondriacus,species,8,8,4,7,7,1,8,8,4,7,7
Amaranthus powellii,Amaranthus powellii,species,8,7,4,7,7,1,8,7,4,7,7
Amaranthus retroflexus,Amaranthus retroflexus,species,8,7,4,7,8,1,8,7,4,7,8
Amaranthus viridis,Amaranthus viridis,species,8,8,4,7,8,1,8,8,4,7,8
Ambrosia artemisiifolia,Ambrosia artemisiifolia,species,9,7,4,7,6,1,9,7,4,7,6
Ambrosia psilostachya,Ambrosia psilostachya,species,9,8,3,8,4,1,9,8,3,8,4
Ambrosia trifida,Ambrosia trifida,species,8,8,5,7,7,1,8,8,5,7,7
Amelanchier lamarckii,Amelanchier lamarckii,species,6,6,5,3,3,0,6,6,5,3,3
Ammi majus,Ammi majus,species,7,8,4,8,7,1,7,8,4,8,7
Amorpha fruticosa,Amorpha fruticosa,species,7,7,5,7,7,1,7,7,5,7,7
Anacamptis pyramidalis,Anacamptis pyramidalis,species,7,7,4,9,3,0,7,7,4,9,3
Anagallis arvensis,Anagallis arvensis,species,7,6,5,7,6,1,7,6,5,x,6
Anagallis arvensis agg.,Anagallis arvensis agg.,aggregate,7,6,5,7,6,1,7,6,5,x,6
Anagallis foemina,Anagallis foemina,species,7,7,4,8,6,1,7,7,4,8,6
Anaphalis margaritacea,Anaphalis margaritacea,species,6,4,5,5,5,0,6,4,5,5,5
Andromeda polifolia,Andromeda polifolia,species,9,4,9,1,1,0,9,4,9,1,1
Androsace elongata,Androsace elongata,species,9,7,2,7,3,0,9,7,2,7,3
Androsace maxima,Androsace maxima,species,9,8,4,7,3,1,9,8,4,7,3
Androsace septentrionalis,Androsace septentrionalis,species,9,7,2,5,2,0,9,7,2,5,2
Anemonastrum narcissiflorum,Anemonastrum narcissiflorum,species,8,2,5,6,4,0,8,2,5,6,4
Anemone nemorosa,Anemone nemorosa,species,4,5,5,6,5,0,4,x,5,x,x
Anemone ranunculoides,Anemone ranunculoides,species,4,6,6,7,7,0,4,6,6,7,7
Anemone sylvestris,Anemone sylvestris,species,6,7,3,8,3,0,6,7,3,8,3
Anethum graveolens,Anethum graveolens,species,8,7,5,7,7,0,8,7,5,7,7
Angelica archangelica,Angelica archangelica,species,7,5,9,6,7,1,7,5,9,x,7
Angelica archangelica ssp. archangelica,Angelica archangelica subsp. archangelica,subspecies,7,5,9,6,7,1,7,5,9,x,7
Angelica palustris,Angelica palustris,species,7,6,8,6,7,0,7,6,8,x,x
Angelica sylvestris,Angelica sylvestris,species,6,5,8,6,6,0,6,x,8,x,6
Angelica sylvestris ssp. bernardiae,Angelica sylvestris subsp. bernardiae,subspecies,6,5,8,6,6,0,6,5,8,6,6
Angelica sylvestris ssp. sylvestris,Angelica sylvestris subsp. sylvestris,subspecies,6,5,8,6,6,0,6,5,8,6,6
Anchusa officinalis,Anchusa officinalis,species,8,7,3,7,5,0,8,7,3,7,5
Antennaria dioica,Antennaria dioica,species,8,4,4,3,2,0,8,x,4,3,2
Anthemis arvensis,Anthemis arvensis,species,7,6,4,5,6,0,7,6,4,5,6
Anthemis cotula,Anthemis cotula,species,7,6,5,7,7,2,7,6,5,x,7
Anthemis ruthenica,Anthemis ruthenica,species,8,7,3,4,4,0,8,7,3,4,4
Anthericum liliago,Anthericum liliago,species,7,7,3,6,3,0,7,7,3,6,3
Anthericum ramosum,Anthericum ramosum,species,7,6,3,7,3,0,7,6,3,7,3
Anthoxanthum alpinum,Anthoxanthum alpinum,species,7,3,6,2,3,0,7,3,6,2,3
Anthoxanthum odoratum,Anthoxanthum odoratum,species,7,5,5,4,4,0,7,x,x,4,x
Anthoxanthum odoratum agg.,Anthoxanthum odoratum agg.,aggregate,7,4,5,3,4,0,7,x,x,3,x
Anthriscus caucalis,Anthriscus caucalis,species,7,7,5,6,8,1,7,7,5,6,8
Anthriscus cerefolium,Anthriscus cerefolium,species,6,7,5,7,8,0,6,7,5,7,8
Anthriscus cerefolium var. cerefolium,Anthriscus cerefolium var. cerefolium,variant,6,7,5,7,8,0,6,7,5,7,8
Anthriscus cerefolium var. trichocarpus,Anthriscus cerefolium var. trichocarpus,variant,6,7,5,7,8,0,6,7,5,7,8
Anthriscus nitidus,Anthriscus nitidus,species,4,4,6,7,8,0,4,4,6,7,8
Anthriscus sylvestris,Anthriscus sylvestris,species,7,5,5,7,8,0,7,x,5,x,8
Anthyllis vulneraria,Anthyllis vulneraria,species,8,5,4,7,3,0,8,5,4,7,3
Anthyllis vulneraria ssp. carpatica,Anthyllis vulneraria subsp. carpatica,subspecies,8,5,4,7,3,0,8,5,4,7,3
Anthyllis vulneraria ssp. polyphylla,Anthyllis vulneraria subsp. polyphylla,subspecies,8,5,4,7,3,0,8,5,4,7,3
Anthyllis vulneraria ssp. pseudovulneraria,Anthyllis vulneraria subsp. pseudovulneraria,subspecies,8,5,4,7,3,0,8,5,4,7,3
Antirrhinum majus,Antirrhinum majus,species,7,7,3,7,6,1,7,7,3,7,6
Apera interrupta,Apera interrupta,species,9,7,2,4,3,0,9,7,2,4,3
Apera spica-venti,Apera spica-venti,species,7,6,5,4,6,0,7,6,5,4,x
Aphanes arvensis,Aphanes arvensis,species,7,6,5,4,5,0,7,6,5,x,5
Aphanes australis,Aphanes australis,species,7,7,5,4,4,0,7,7,5,4,4
Aposeris foetida,Aposeris foetida,species,4,4,5,6,5,0,4,4,5,6,5
Aquilegia atrata,Aquilegia atrata,species,6,4,4,8,4,0,6,4,4,8,4
Aquilegia vulgaris,Aquilegia vulgaris,species,6,5,5,7,5,0,6,5,5,7,5
Arabidopsis arenosa,Arabidopsis arenosa,species,7,5,4,6,3,0,7,5,4,6,3
Arabidopsis arenosa ssp. arenosa,Arabidopsis arenosa subsp. arenosa,subspecies,7,5,4,6,3,0,7,5,4,6,3
Arabidopsis arenosa ssp. borbasii,Arabidopsis arenosa subsp. borbasii,subspecies,7,5,4,6,3,0,7,5,4,6,3
Arabidopsis halleri,Arabidopsis halleri,species,7,4,6,4,5,0,7,4,6,4,x
Arabidopsis halleri ssp. halleri,Arabidopsis halleri subsp. halleri,subspecies,7,4,6,4,5,0,7,4,6,4,x
Arabidopsis petraea,Arabidopsis petraea,species,7,4,3,8,2,0,7,4,3,8,2
Arabidopsis thaliana,Arabidopsis thaliana,species,7,6,4,4,4,0,7,6,4,4,4
Arabis alpina,Arabis alpina,species,7,3,5,9,3,0,7,3,5,9,3
Arabis auriculata,Arabis auriculata,species,7,7,3,8,3,0,7,7,3,8,3
Arabis hirsuta,Arabis hirsuta,species,7,6,4,7,4,0,7,6,4,7,x
Arabis hirsuta agg.,Arabis hirsuta agg.,aggregate,7,6,4,7,5,0,7,6,4,7,x
Arabis nemorensis,Arabis nemorensis,species,7,6,7,7,6,0,7,6,7,7,6
Arabis sagittata,Arabis sagittata,species,7,7,3,8,4,0,7,7,3,8,4
Arabis sudetica,Arabis sudetica,species,7,3,6,7,6,0,7,3,6,7,6
Arctium lappa,Arctium lappa,species,8,6,5,7,8,1,8,6,5,7,8
Arctium minus,Arctium minus,species,8,5,5,7,8,1,8,5,5,x,8
Arctium nemorosum,Arctium nemorosum,species,5,5,6,7,7,0,5,5,6,7,7
Arctium tomentosum,Arctium tomentosum,species,7,5,5,8,8,1,7,5,5,8,8
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,species,6,4,3,3,2,0,6,4,3,x,2
Aremonia agrimonoides,Aremonia agrimonoides,species,4,6,5,8,5,0,4,6,5,8,5
Aremonia agrimonoides ssp. agrimonoides,Aremonia agrimonoides subsp. agrimonoides,subspecies,4,6,5,8,5,0,4,6,5,8,5
Arenaria grandiflora,Arenaria grandiflora,species,9,7,2,9,2,0,9,7,2,9,2
Arenaria leptoclados,Arenaria leptoclados,species,9,7,3,7,3,0,9,7,3,7,3
Arenaria serpyllifolia,Arenaria serpyllifolia,species,8,5,4,6,4,0,8,5,4,6,x
Arenaria serpyllifolia agg.,Arenaria serpyllifolia agg.,aggregate,8,5,4,6,4,0,8,5,4,6,x
Aristolochia clematitis,Aristolochia clematitis,species,6,7,5,7,7,0,6,7,5,7,7
Armeria elongata,Armeria elongata,species,7,6,3,5,3,0,7,6,3,5,3
Armeria elongata ssp. elongata,Armeria elongata subsp. elongata,subspecies,7,6,3,5,3,0,7,6,3,5,3
Armeria elongata ssp. serpentini,Armeria elongata subsp. serpentini,subspecies,8,6,3,6,2,0,8,6,3,6,2
Armoracia rusticana,Armoracia rusticana,species,8,6,6,7,8,1,8,6,6,x,8
Arnica montana,Arnica montana,species,8,4,5,3,3,0,8,4,5,3,3
Arnica montana ssp. montana,Arnica montana subsp. montana,subspecies,8,4,5,3,3,0,8,4,5,3,3
Arnoseris minima,Arnoseris minima,species,8,6,4,3,3,0,8,6,4,3,3
Arrhenatherum elatius,Arrhenatherum elatius,species,7,5,5,7,7,1,7,x,x,7,7
Arrhenatherum elatius ssp. elatius,Arrhenatherum elatius subsp. elatius,subspecies,7,5,5,7,7,1,7,x,x,7,7
Artemisia absinthium,Artemisia absinthium,species,8,6,4,7,7,1,8,6,4,7,7
Artemisia annua,Artemisia annua,species,9,7,4,7,6,1,9,7,4,7,6
Artemisia austriaca,Artemisia austriaca,species,8,8,2,7,4,1,8,8,2,7,4
Artemisia austriaca agg.,Artemisia austriaca agg.,aggregate,8,8,2,7,4,1,8,8,2,7,4
Artemisia campestris,Artemisia campestris,species,8,7,2,6,3,0,8,7,2,6,3
Artemisia campestris var. campestris,Artemisia campestris var. campestris,variant,8,7,2,6,3,0,8,7,2,6,3
Artemisia campestris var. lednicensis,Artemisia campestris var. lednicensis,variant,8,7,2,6,3,0,8,7,2,6,3
Artemisia dracunculus,Artemisia dracunculus,species,8,7,3,6,6,0,8,7,3,6,6
Artemisia pancicii,Artemisia pancicii,species,8,8,3,8,3,0,8,8,3,8,3
Artemisia pontica,Artemisia pontica,species,9,7,3,8,4,2,9,7,3,8,4
Artemisia scoparia,Artemisia scoparia,species,9,6,3,8,5,1,9,6,3,8,5
Artemisia siversiana,Artemisia siversiana,species,8,6,5,6,6,1,8,6,5,6,6
Artemisia tournefortiana,Artemisia tournefortiana,species,8,7,4,6,6,1,8,7,4,6,6
Artemisia verlotiorum,Artemisia verlotiorum,species,9,6,5,7,8,1,9,6,5,7,8
Artemisia vulgaris,Artemisia vulgaris,species,7,6,5,6,8,1,7,6,5,x,8
Artemisia vulgaris agg.,Artemisia vulgaris agg.,aggregate,7,6,5,6,8,1,7,6,5,x,8
Arum cylindraceum,Arum cylindraceum,species,3,5,6,7,8,0,3,5,6,7,8
Arum maculatum,Arum maculatum,species,3,6,6,7,8,0,3,6,6,7,8
Arum maculatum agg.,Arum maculatum agg.,aggregate,3,6,6,7,8,0,3,6,6,7,8
Aruncus dioicus,Aruncus dioicus,species,4,4,6,7,8,0,4,4,6,x,8
Asarum europaeum,Asarum europaeum,species,3,5,5,7,6,0,3,5,5,7,6
Asarum europaeum ssp. europaeum,Asarum europaeum subsp. europaeum,subspecies,3,5,5,7,6,0,3,5,5,7,6
Asarum europaeum var. europaeum,Asarum europaeum var. europaeum,variant,3,5,5,7,6,0,3,5,5,7,6
Asarum europaeum var. romanicum,Asarum europaeum var. romanicum,variant,3,5,5,7,6,0,3,5,5,7,6
Asclepias syriaca,Asclepias syriaca,species,8,7,5,7,6,1,8,7,5,7,6
Asparagus officinalis,Asparagus officinalis,species,7,7,3,7,4,0,7,7,3,x,4
Asparagus officinalis ssp. officinalis,Asparagus officinalis subsp. officinalis,subspecies,7,7,3,7,4,0,7,7,3,x,4
Asperugo procumbens,Asperugo procumbens,species,7,7,4,8,8,1,7,7,4,8,8
Asperula arvensis,Asperula arvensis,species,7,7,4,9,4,0,7,7,4,9,4
Asperula cynanchica,Asperula cynanchica,species,8,7,3,8,3,0,8,7,3,8,3
Asperula tinctoria,Asperula tinctoria,species,6,6,4,8,3,0,6,6,4,8,3
Asperula tinctoria ssp. tinctoria,Asperula tinctoria subsp. tinctoria,subspecies,6,6,4,8,3,0,6,6,4,8,3
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,species,6,7,4,2,3,0,6,7,4,2,3
Asplenium adulterinum,Asplenium adulterinum,species,5,5,5,6,2,0,5,5,5,6,2
Asplenium ceterach,Asplenium ceterach,species,6,7,3,7,3,0,6,7,3,7,3
Asplenium ceterach ssp. ceterach,Asplenium ceterach subsp. ceterach,subspecies,6,7,3,7,3,0,6,7,3,7,3
Asplenium cuneifolium,Asplenium cuneifolium,species,6,5,4,6,2,0,6,5,4,6,2
Asplenium ruta-muraria,Asplenium ruta-muraria,species,8,5,3,8,3,0,8,5,3,8,3
Asplenium ruta-muraria ssp. ruta-muraria,Asplenium ruta-muraria subsp. ruta-muraria,subspecies,8,5,3,8,3,0,8,5,3,8,3
Asplenium scolopendrium,Asplenium scolopendrium,species,3,4,7,8,7,0,3,4,7,8,7
Asplenium scolopendrium ssp. scolopendrium,Asplenium scolopendrium subsp. scolopendrium,subspecies,3,4,7,8,7,0,3,4,7,8,7
Asplenium septentrionale,Asplenium septentrionale,species,8,6,2,2,2,0,8,6,2,2,2
Asplenium septentrionale ssp. septentrionale,Asplenium septentrionale subsp. septentrionale,subspecies,8,6,2,2,2,0,8,6,2,2,2
Asplenium trichomanes,Asplenium trichomanes,species,5,5,4,6,3,0,x,5,4,x,3
Asplenium trichomanes ssp. hastatum,Asplenium trichomanes subsp. hastatum,subspecies,4,5,4,9,3,0,x,5,4,9,3
Asplenium trichomanes ssp. pachyrachis,Asplenium trichomanes subsp. pachyrachis,subspecies,5,5,4,8,3,0,x,5,4,8,3
Asplenium trichomanes ssp. quadrivalens,Asplenium trichomanes subsp. quadrivalens,subspecies,5,5,4,6,3,0,x,5,4,6,3
Asplenium trichomanes ssp. trichomanes,Asplenium trichomanes subsp. trichomanes,subspecies,4,5,4,4,3,0,x,5,4,4,3
Asplenium viride,Asplenium viride,species,4,4,5,8,3,0,x,4,5,8,x
Aster alpinus,Aster alpinus,species,8,3,4,7,3,0,8,3,4,7,3
Aster amellus,Aster amellus,species,8,6,3,8,3,0,8,6,3,8,3
Aster amellus ssp. amellus,Aster amellus subsp. amellus,subspecies,8,6,3,8,3,0,8,6,3,8,3
Aster amellus ssp. bessarabicus,Aster amellus subsp. bessarabicus,subspecies,8,6,3,8,3,0,8,6,3,8,3
Astragalus arenarius,Astragalus arenarius,species,8,7,2,7,3,0,8,7,2,7,3
Astragalus asper,Astragalus asper,species,8,8,2,7,4,1,8,8,2,7,4
Astragalus austriacus,Astragalus austriacus,species,8,7,3,9,3,0,8,7,3,9,3
Astragalus cicer,Astragalus cicer,species,7,6,4,8,4,0,7,6,4,8,4
Astragalus danicus,Astragalus danicus,species,8,7,4,8,4,0,8,7,4,8,4
Astragalus exscapus,Astragalus exscapus,species,9,7,2,9,3,0,9,7,2,9,3
Astragalus glycyphyllos,Astragalus glycyphyllos,species,6,6,4,7,4,0,6,6,4,7,4
Astragalus onobrychis,Astragalus onobrychis,species,8,7,2,9,3,0,8,7,2,9,3
