"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
400318,"Kosík V.",1936,"Procentické vyjádření složení travinného porostu na základě Braun-Blanquetovy stupnice.","Zeměd. Arch. [CZ], 27: 309-313."
400319,"Krkavec F.",1953,"Příspěvek k poznání fytosociologických poměrů řeky Moravice.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 14: 422-427."
400320,"Kropáčová A.",1961,"Die Rotschwingelwiesen.","Preslia, Praha, 33: 243-257."
400321,"Kropáčová A.",1965,"Vliv odvodnění na luční fytocenosy Kubatovských blat v jižních Čechách.","Sborn. Vys. Šk. Zeměd. Praha, Fak. Agron., 1965: 37-45."
400322,"Kropáčová A. et al.",1963,"Louky školního statku VŠZ v Praze - objekt Lány a N. Strašecí.","Sborn. Vys. Šk. Zeměd. Praha, Fak. Agron., 139-147."
400323,"Ortman A.",1949,"Vliv košárování na jakost horských pastevních porostů.","Sborn. Čs. Akad. Zeměd., Praha, 22: 112-121."
400324,"Rejmánek M. et Štursová H.",1970,"Na botanické hranici Orlických hor.","Živa, Praha, 18 ( 56): 58."
400326,"Říčan G.",1928,"Orchideové louky u Vsetína v Mor. Karpatech.","Sborn. Klubu Přírod. Brno, 10: 36-51."
400327,"Slavoňovský F.",1954,"Příspěvek k poznání květeny povodí řeky Moravice.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 15: 449-470."
400328,"Slavoňovský F.",1954,"Příspěvek k poznání květeny jižní Moravy II. (Louky u Drnholce).","Spisy Přírod. Fak. Masaryk. Univ., Brno, ser. L 9, 359: 319-348."
400329,"Sofron J.",1967,"Vegetační poměry zátopového území vodního díla Nýrsko na Šumavě.","Zpr. Čs. Bot. Společ., Praha, 2: 223-232."
400330,"Šmarda J.",1953,"Příspěvek k poznání lučních společenstev ve Slezsku.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 14: 60-69."
400331,"Vágenknecht V.",1970,"Příspěvek k poznání rostlinného krytu chráněného naleziště 'Černá louka' u Lázní Bělohradu.","Pr. a Stud. - Přír., Pardubice, 2: 41-51."
400333,"Válek B.",1948,"Caricetum davallianae bohemicum (Klika) v severovýchodních Čechách.","Spisy Přírod. Klubu Severových. Čech, Hradec Králové, 1: 1-47."
400334,"Válek B.",1950,"Pedologické poměry, teplota půdní a fenologická pozorování v porostech Cariceta davallianae u Trotiny na Královéhradecku v severovýchodních Čechách.","Sborn. Čs. Akad. Zeměd., Praha, 22: 322-330."
400335,"Válek B.",1959,"Půdní vlastnosti subasociací Seslerietum uliginosae-Caricetosum pulicaris a Molinietum coeruleae-Caricetosum distantis u rybníka 'Kopičák' u Chlumce n. Cidl.","Preslia, Praha, 31: 14-19."
400336,"Válek B.",1960,"Pedologické a hydropedologické vlastnosti lučních půd ve vztahu k jejich porostům. II.","Věd. Pr. Výzk. Úst. Melior. ČSAZV, Praha, 1960: 117-167."
400337,"Válek B.",1962,"Luční půdy a porosty v okolí Nové Vsi u Bečova v Slavkovském lese.","Věd. Pr. Výzk. Úst. Melior. ČSAZV, Praha, 4: 97-142."
400338,"Vicherek J.",1956,"Příspěvek k poznání vegetačních poměrů východní části Nízkého Jeseníku.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 17: 563-570."
400339,"Vicherek J.",1957,"Poznámky ke květeně okolí Nového Jičína.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 18: 400-416."
400340,"Vicherek J.",1962,"Typy fytocenos aluviální nivy dolního Podyjí se zvláštním zaměřením na společenstva luční.","Folia Fac. Sci. Natur. Univ. Purkyn. Brun., Brno, Biol. 3/5: 1-113."
400341,"Vicherek J.",1965,"Fytocenologická charakteristika subhalofytních lučních společenstev panonské oblasti ČSSR. Svaz Agrostion albae Soó 1933 emend. 1940.","Spisy Přírod. Fak. Masaryk. Univ. Brno, ser. L 25/5, 463: 233-248."
400342,"Brieger F.",1923,"Die Vegetation des Isergebirges.","Österreich. Bot. Zeitschr., Wien, 72: 394-420."
400343,"Dohnal Z. et Mejstřík V.",1963,"Das Moor Krásno im Slavkovský les (Kaiserwald).","Preslia, Praha, 35: 199-209."
400344,"Balátová-Tuláčková E.",1968,"Významná lokalita v Českém ráji (severovýchodní Čechy).","Zpr. Čs. Bot. Společ., Praha, 3: 89-90."
400345,"Fiedler J.",1950,"Nástin lesů kraje mezi Trutnovem a Adršpachem.","Ochr. Přír., Praha, 5: 76-77."
400346,"Holovský M.",1948,"Haldové porosty u Dýšinné na Plzeňsku.","Čas. Nár. Mus., Praha, sect. natur., 117: 126-133."
400347,"Jílek B.",1956,"K fytocenologii rybničních společenstev.","Preslia, Praha, 28: 66-77."
400348,"Klečka A. et Fabian J.",1936,"Příspěvek k studiu beskydských nardet.","Sborn. Čs. Akad. Zeměd., Praha, 11: 508-519."
400349,"Klement O.",1931,"Zur Flechtenflora des Erzgebirges. Die Umgebung von Komotau.","Beih. Bot. Cbl., Jena, sect. B, 48: 52-96."
400350,"Klement O.",1944,"Zur Verbreitung von Aspidium lonchitis Sw. im Böhmischen Raum.","Natur u. Heimat, Aussig [Ústí nad Labem], 13: 8-14."
400351,"Vicherek J.",1962,"Rostlinná společenstva jihomoravské halofytní vegetace.","Spisy Přírod. Fak. Masaryk. Univ. Brno, ser. L 17, 430/2: 65-96."
400352,"Šmarda J.",1953,"Halofytní květena jižní Moravy.","Pr. Morav.-Slez. Akad. Věd Přír., Brno, 25: 121-166."
400353,"Klika J.",1932,"O slanomilné (halofytné) vegetaci u nás a v cizině. IV.","Příroda, Brno, 25: 14-18 et 51-53."
400354,"Vicherek J.",1968,"Poznámky k cenologické afinitě Myosurus minimus L.","Preslia, Praha, 40: 387-396."
400355,"Klika J.",1931,"O rostlinných společenstvech a jejich sukcesi na obnažených písečných půdách lesních ve středním Polabí.","Sborn. Čs. Akad. Zeměd., Praha, 6: 277-302."
400356,"Krippel E.",1969,"K problému nelesných pieskomilných spoločenstiev rastlín v ČSSR.","Geogr. Čas. SAV, Bratislava, 21: 129-148."
400357,"Slavoňovský F.",1968,"Zpevňující význam podzemní hmoty dvou psamofilních společenstev. Část první.","Spisy Přírod. Fak. Univ. J.E. Purkyně Brno, 9: 439-468."
400358,"Šmarda F.",1961,"Příspěvek k poznání sukcese na přesypových píscích v Dolnomoravském úvalu.","Biológia, Bratislava, 16: 611-615."
400359,"Šmarda J.",1952,"K otázce biologického zpevňování půdního povrchu vátých písků.","Ochr. Přír., Praha, 7: 54-57."
400360,"Balátová-Tuláčková E.",1957,"Luční společenstva ve vztahu k půdní vlhkosti.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Rostl. Výr., 3: 529-558."
400361,"Bednář V.",1964,"Fytocenologická studie lužních lesů Hornomoravského úvalu.","Acta Univ. Palack. Olomuc., Praha, Biol.,16/ 6: 5-71."
400362,"Bednář V., Jílek B. et Velísek V.",1964,"Synekologická studie o slatinné vegetaci Hornomoravského úvalu III.","Acta Univ. Palack. Olomuc., Praha, Biol., 16/6: 73-79."
400363,"Blažková D.",1969,"Hrachor bahenní - Lathyrus paluster L. v jižních Čechách.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 9: 65-69."
400364,"Domin K.",1945,"Mařice obecná, vzácný a památný druh polabských černav. (Cladium mariscus (L.) Pohl).","Věda Přír., Praha, 23: 129-132."
400365,"Fiedler J.",1954,"Příspěvek ke květeně kraje královéhradeckého.","Čas. Nár. Mus., Praha, sect. natur., 123: 115-119."
400366,"Hejný S.",1959,"Příspěvek k zarůstání rybničního pobřeží vypáleného ohněm.","Sborn. Kraj. Vlastiv. Muz. České Budějovice - Přír. Vědy, 2: 85-101."
400367,"Jeník J. et Slavíková J.",1964,"Střední Vltava a její přehrady z hlediska geobotanického.","In: Moravcová M. [red.], Vegetační problémy při budování vodních děl, ed. NČSAV, p. 67-100, Praha."
400368,"Jílek B.",1958,"Příspěvek k fytocenologii jihočeských olšin.","Sborn. Kraj. Vlastiv. Muz. České Budějovice - Přír. Vědy, 1: 53-63."
400369,"Jílek B.",1960,"Příspěvek k fytocenologii jihočeských rybníků.","Acta Univ. Palack. Olomuc., Praha, Biol., 5/2: 35-47."
400370,"Jílek B.",1963,"Vliv důlních vod na vývoj rybničních společenstev makrofyt.","Sborn. Vys. Šk. Zeměd. Praha, Fak. Agron., 1963: 131-138."
400371,"Klika J.",1940,"Die Pflanzengesellschaften des Alnion-Verbandes.","Preslia, Praha, 18-19: 97-112."
400372,"Kopecký K.",1957,"Přirozená společenstva rostlin v okolí Nového Města nad Metují.","Ochr. Přír., Praha, 12: 5-15."
400373,"Kopecký K.",1957,"Sukcese rostlinných společenstev na náplavech Metuje a Olešenky v okolí Nového Města n. Met.","Preslia, Praha, 29: 51-63."
400374,"Kopecký K.",1965,"Einfluss der Ufer- und Wassermakrophyten-Vegetation auf die Morphologie des Flussbettes einiger tschechoslowakischer Flüsse.","Arch. Hydrobiol., Stuttgart, 61/2: 137-160."
400375,"Kopecký K.",1967,"Mitteleuropäische Flussröhrichtgesellschaften des Phalaridion arundinaceae-Verbandes.","Limnologica, Berlin, 5/1: 39-79."
400376,"Kopecký K.",1968,"Zur Polemik über die phytozönologische Erfassung der Flussröhrichtgesellschaften Mitteleuropas.","Preslia, Praha, 40: 397-407."
400377,"Málek J.",1955,"Bučiny v Roštýnské oboře u Telče.","Sborn. Vys. Šk. Zeměd. Lesn., ser. C, 3: 118."
400378,"Mikyška R.",1944,"Chráněná přírodní oblast Kamenného rybníka na Plzeňsku.","Krása Našeho Domova, Praha, 36: 53-62."
400379,"Balátová-Tuláčková E.",1965,"Eriophorum gracile Koch na Úvalenských loukách a jeho rozšíření na Moravě a ve Slezsku.","Čas. Slez. Muz. Opava, ser. A, 14: 127-130."
400380,"Neuhäusl R.",1965,"Vegetation der Röhrichte und der sublitoralen Magnocariceten in Wittingauer Becken.","Vegetace ČSSR, Praha, ser. A, 1: 11-177."
400381,"Pilous Z.",1939,"Poslední živé rašeliniště v Brdech. (Příspěvek k odůvodnění, aby bylo prohlášeno přírodní rezervací.).","Krása Našeho Domova, Praha, 31: 2-6."
400382,"Nesvadbová J. et Sofron J.",1995,"Přírodní rezervace Postřekovské rybníky, její flora a vegetace.","Sborn. Západočes. Muz. Plzeň - Přír., 92: 1-51."
400383,"Šmarda J.",1969,"Chráněná krajinná oblast Vysočina. (Návrhy rezervací).","Čs. Ochr. Prír., Bratislava, 9: 207-238."
400384,"Šula B.",1960,"Zbytky slatin u Moravičan.","Zpr. Vlastiv. Úst. Olomouc, 87: 123-124."
400385,"Švacha A.",1950,"Zprávy o botanickém výzkumu rostlinných společenstev rybníků v oblasti Hrušov-Orlová-Stonava-Louky-zastávka v r. 1950.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 11: 365-369."
400386,"Švacha A.",1951,"Doplnění zprávy o průzkumu vegetačních poměrů rybníků v oblasti Hrušov-Louky-zastávka.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 12: 266-267."
400387,"Válek V.",1944,"Návrh na ochranu botanických stanovišť v okolí Lázní Bělohradu.","Krása Našeho Domova, Praha, 36: 77."
400388,"Velísek V.",1968,"Slatinná společenstva třídy Phragmitetea Tüxen et Preissing 1942 Hornomoravského úvalu I. (Fytocenologická studie).","Acta Univ. Palack. Olomuc., Praha, Biol., 28/10: 43-56."
400389,"Blažková D.",1964,"Rozčlenění vegetace na údolních svazích v oblasti Orlické nádrže.","In: Moravcová M. [red.], Vegetační problémy při budování vodních děl, ed. NČSAV, p. 21-37, Praha."
400390,"Březina P.",1957,"Stanovištní typy na rašeliništích v Třeboňské pánvi (Zámecké polesí Třeboně).","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 3 ( 30): 821-840."
400391,"Fiedler J.",1956,"Lesy a jejich květena v oblasti mezi Labem, Orlicí a Dědinou.","Čas. Nár. Mus., Praha, sect. natur., 125: 170-176."
400392,"Hadač E.",1969,"Základní krajinné celky Broumovska z hlediska fytogeografického.","In: Raušer J. et Vašátko J. [red.], Problémy současné biogeografie, Stud. Geographica, Brno, 6: 43-45 et ?"
400393,"Hejtmánek J.",1954,"Vřesovcové bory v Císařském lese (Erica carnea L.).","Ochr. Přír., Praha, 9: 70-76."
400394,"Hilitzer A.",1932,"Bory na Horšovotýnsku.","Čas. Nár. Mus., Praha, sect. natur., 106: 1-12."
400395,"Hilitzer A.",1932,"Rozšíření borovice na Šumavě.","Lesn. Pr., Písek,11: 9-25."
400396,"Holovský M.",1956,"K historii lesů plzeňských.","Pr. Výzk. Úst. Lesn., 11: 213-248."
400397,"Klika J.",1929,"Lesní typy v rámci našeho lesního geobotanického průzkumu a jejich vztah k lesnictví.","Sborn. Čs. Akad. Zeměd., Praha, 4, oddíl A: 229-284."
400398,"Klika J.",1950,"Nové naleziště medvědice léčivé - Arctostaphylos uva-ursi (L.) Spr.","Čs. Bot. Listy, Praha, 3: 7-9."
400400,"Mikyška R.",1940,"O lesích na Královéhradecku. I.","Krása Našeho Domova, Praha, 32: 65-71."
400401,"Mikyška R.",1956,"2. Metodické poznámky k fytocenologickým rozborům lesa.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 2 ( 29): 144-149."
400402,"Mikyška R.",1964,"Příspěvek k fytosociologii reliktních borů na Šumavě.","Čas. Nár. Muz., Praha, sect. natur., 133: 185-195."
400403,"Mikyška R.",1970,"Poznámky k některým borům v Čechách a v Kladsku.","Preslia, Praha, 42: 130-135."
400404,"Mráček Z.",1951,"Borové lesy na Bezdružicku.","Lesn. Pr., Písek, 30: 9-20."
400405,"Mráz K.",1954,"Vývoj přízemního patra lesního rostlinstva po různých hospodářských zásazích.","Sborn. Čs. Akad. Zeměd. Věd, Praha, ser. B, 27: 485-500."
400406,"Neuhäusl R.",1960,"Typy lesních společenstev Železných hor.","Rozpr. Čs. Akad. Věd, Praha, ser. math.-natur., 70/2: 1-77."
400407,"Sigmond J.",1933,"Klimatické a ekologické šetření v lesní světlině.","Lesn. Pr., Písek, 12, 10: 486-515 et 11-12: 554-591."
400408,"Sofron J.",1967,"Předběžná studie o vegetačních poměrech polesí Kokotsko na Plzeňsku.","Zpr. Bot. Zahr. Plzeň, 3: 2-7."
400409,"Sofron J. et Vondráček M.",1969,"Vegetace připravované státní přírodní rezervace Šmauzy na Železnorudsku.","Chrán. Krajin. Obl. Šumava, Zprav., 10: 19-23."
400410,"Veselský J.",1968,"Mykocenologický výzkum zanikajícího vrchoviště Hutě pod Smrkem v dolině Ostravice.","Čas. Slez. Muz. Opava, ser. A, 17: 7-18."
400411,"Ambrož J.",1948,"Lesy třeboňské pánve a přilehlých okresů.","Ročen. Štát. Výsk. Úst. Lesn. ČSR, 2: 101-180."
400412,"Balabán K.",1942,"Světelné mikroklima v porostech bukových, borových a smrkových.","Lesn. Pr., Písek, 21: 57-92."
400413,"Balátová-Tuláčková E.",1952,"Předběžná zpráva o vegetačních poměrech toku řeky Moravice.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 13: 588-598."
400414,"Bednář V.",1964,"Příspěvek k poznání jilmových doubrav v Hornomoravském úvalu.","Čas. Slez. Muz. Opava, ser. C, 3: 53-63."
400415,"Blažková D.",1961,"Přirozené suťové a akátové lesní porosty v zátopové oblasti Orlické přehrady.","Sborn. Kraj. Vlastiv. Muz. České Budějovice - Přír. Vědy, 3: 119-135."
400416,"Dostál J. et Sillinger P.",1933,"Trinia Kitaibelii M. B., nová rostlina české květeny.","Věda Přír., Praha, 14: 247-248."
400417,"Dvořák J.",1960,"Nové lokality Carex fritschii Waisb. v oblasti Dolnomoravského úvalu a na Záhorské nížině.","Biológia, Bratislava, 15: 531-535."
400418,"Fiedler L.",1947,"Botanický nástin kraje mezi Trutnovem a Adršpachem.","Příroda, Brno, 40: 68-69."
400419,"Fiedler J.",1947,"Háj 'Na Mělích', zajímavá přírodní památka Opočenska.","Krása Našeho Domova, Praha, 38: 130-131."
400420,"Fiedler J.",1948,"Zvolská stráň u Jaroměře.","Příroda, Brno, 40: 221-222."
400421,"Fiedler J.",1949,"Rozšíření Arctium nemorosum Lej. et Court. v severovýchodních Čechách.","Čs. Bot. Listy, Praha, 1: 97-100."
400422,"Fiedler J.",1951,"Květena lesů kolem Vys. Újezda na Opočensku.","Čas. Nár. Mus., Praha, sect. natur., 118-119 (1949-1950): 107-109."
400423,"Fiedler J.",1951,"Les 'Halín' u Běstvin - zajímavá přírodní památka Dobrušska.","Ochr. Přír., Praha, 6: 123-125."
400424,"Fiedler J.",1954,"Botanické zajímavosti okolí Dobrušky a jejich ochrana.","Ochr. Přír., Praha, 9: 266-270."
400425,"Fiedler J.",1965,"Lesy Jaroměřska z hlediska ochrany přírody.","Čs. Ochr. Prír., Bratislava, 2: 63-76."
400426,"Hadač E.",1966,"Rozšíření jaterníku (Hepatica nobilis Mill.) v Československu.","Preslia, Praha, 38: 186-201."
400427,"Hadač E.",1969,"The distribution of Galium silvaticum L. and G. Schultesii Vest. in Czechoslovakia.","Preslia, Praha, 41: 39-60."
400428,"Hadač E., Slavík B. et Richterová H.",1967,"The distribution of Pleurospermum austriacum (L.) Hoffm. in Czechoslovakia.","Preslia, Praha, 39: 375-391."
400429,"Hejtmánek J.",1957,"Betula pendula var. carelica Sokolov v Československu.","Preslia, Praha, 29: 264-268."
400430,"Hejtmánek J.",1958,"K fenologické variabilitě buku.","Pr. Výzk. Úst. Lesn., 15: 193-210."
400431,"Hilitzer A.",1927,"Studie o bučinách v okolí Kdyně.","Věstn. Král. Čes. Společ. Nauk, Praha, 14: 1-55."
400432,"Horák J.",1960,"Příspěvek k ekologické charakteristice společenstev lužních lesů s výskytem jasanu úzkolistého (Fraxinus angustifolia Vahl).","Sborn. Vys. Šk. Zeměd. Brno, ser. C, 1960/4: 237-269."
400433,"Horák J. et Dvořák J.",1968,"Příspěvek k rozšíření a ekologii Carex strigosa Huds. na Moravě a Slovensku.","Biológia, Bratislava, 23: 541-548."
400434,"Kopecký K.",1990,"Ustupující a mizející společenstva svazu Polygonion avicularis na bývalé periférii jihozápadní části Prahy.","Preslia, Praha, 62: 221-239."
400435,"Matějková I.",1996,"Květena a vegetace pobřežních porostů Hnačovského rybníka.","Sborn. Západočes. Muz. Plzeň - Přír., 94: 49-60."
400436,"Jedlička J.",1953,"Příspěvek k poznání mechorostů Kotouče u Štramberka a okolí.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 14: 333-367."
400437,"Jeník J.",1952,"Vliv lesních cest na stanoviště.","Lesn. Pr., Písek, 31: 110-120."
400438,"Jílek B.",1934,"K bučinám Šumavských předhoří.","Čas. Nár. Mus., Praha, sect. natur., 108: 56-62."
400439,"Jurča J.",1954,"Studium skladby přirozeně vzniklých mlazin.","Sborn. Vys. Šk. Zeměd. Lesn., ser. C, 3-4: 111-157."
400440,"Jurko A.",1961,"Pripomienky k členeniu mapovacích jednotiek č. 1, 2 a 3.","Biol. Pr. ČSAV [CZ], 7/12: 74."
400441,"Klika J.",1939,"O kýchavici černé, Veratrum nigrum L.","Krása Našeho Domova, Praha, 31: 189-191."
400442,"Klika J.",1941,"Naše reservace.","Krása Našeho Domova, Praha, 33: 209-214."
400443,"Klika J.",1943,"Buková reservace 'Staré Sáhy' u osady Rukáveč.","Krása Našeho Domova, Praha, 35: 29-32."
400444,"Sádlo J.",1983,"Vegetace vápencových lomů Českého krasu.","Ms. [Dipl. pr., depon. in: PřF UK, Praha.]"
400445,"Klika J.",1944,"Příspěvek k rozšíření ostřice chlupaté Carex pilosa Scop.","Příroda, Brno, 36: 155-158."
400446,"Klika J.",1958,"Problemy kserotermičnoj flory i obzor kserotermičeskich rastiteľnych soobščestv Čechoslovackoj Respubliky.","In: Delegatskij Sjezd vsjesojuz. Bot. Obšč. (9.-15. maja 1957 g.), Doklady Zarubežnych Učennych 1958."
400447,"Klika J., Novák V. et al.",1941,"Praktikum rostlinné sociologie, půdoznalectví, klimatologie a ekologie.","Praha."
400448,"Klika J. et Šmarda J.",1943,"Návrh na zřízení reservace olšiny u Skleného ve Žďárských horách.","Krása Našeho Domova, Praha, 36: 44-46."
400449,"Kopecký K.",1957,"Několik nových lokalit vzácných kapradin u Nového Města n. Met.","Preslia, Praha, 29: 204-205."
400450,"Kopecký K.",1958,"Fytocenologická studie bukových lesů jevanské vyvýšeniny.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 4 (31): 1065-1096."
400451,"Kovanda M.",1961,"Květenné poměry Hejšoviny.","Pr. Muz. Hradec Králové a Pardubice, ser. A, 3: 75-94."
400452,"Kovanda M.",1963,"Květenné a vegetační poměry Javořích hor.","Pr. Muz. Hradec Králové a Pardubice, ser. A, 5: 101-112."
400454,"Mezera A.",1956,"Středoevropské nížinné luhy I.","Československá akademie zemědělských věd, Praha."
400455,"Mezera A. et Samek V.",1954,"Lužní lesy na pooderských nivách.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 15: 177-193."
400456,"Mikyška R.",1927,"Lesní reservace 'Buky' u Vys. Chvojna.","Věda Přír., Praha, 8: 175-179."
400457,"Mikyška R.",1935,"Pralesová reservace na Javořině v Bílých Karpatech.","Krása Našeho Domova, Praha, 27: 86-90."
400458,"Mikyška R.",1946,"Údolím dolní Střely.","Krása Našeho Domova, Praha, 37: 71-78."
400459,"Blažková D.",1964,"Vegetační poměry na vápencovém ostrůvku u Smolče v Povltaví.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 4: 107-119."
400460,"Mikyška R.",1964,"Naturschutzgebiet 'Na bahně' bei Hradec Králové (Königgrätz) nach 38 Jahren.","Preslia, Praha, 36: 28-37."
400461,"Mikyška R.",1949,"Nástin lesů Doupovských hor.","Ochr. Přír., Praha, 4: 78-81."
400462,"Mikyška R.",1956,"Fytosociologická studie lesů terasového území v dolních částech povodí Orlice a Loučné.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 2 ( 29): 313-370."
400464,"Mikyška R.",1967,"Vegetační rekonstrukce lesů v Zálabí Východočeské nížiny  2. Geobotanické mapy.","Preslia, Praha, 39: 403-420."
400465,"Moravec J.",1960,"Zbytek květnaté bučiny na Blatensku.","Ochr. Přír., Praha, 15: 121-122."
400466,"Moravec J.",1964,"Differenzierung der Pflanzengesellschaften des Carpinion Issler 1931 emend. Oberd. 1953 durch Migration in Südwestböhmen.","Preslia, Praha, 36: 165-177."
400468,"Mráz K.",1958,"Příspěvek k poznání složení lesů na Sedlčansku a jeho historického vývoje.","Sborn. Vlastiv. Pr. z Podblanicka, Benešov, 2: 3-17."
400469,"Mráz K. et Šika A.",1965,"Böden und Vegetation der Auenwaldstandorte.","Feddes Repert., Berlin, beih., 142: 5-64."
400470,"Muranský S.",1950,"Přirozená společenstva středočeských chlumů.","Nakl. Čes. Zeměď. Brázda, Praha."
400471,"Müller J.",1942,"Pokus o zachycení vlivu hospodářských zásahů na půdní produktivitu.","Lesn. Pr., Písek, 21: 397-411."
400472,"Zakopal V.",1958,"Vliv březových porostů na půdní stav holin v oblasti křivoklátské.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 4 (31): 877-896."
400473,"Rybníček K.",1964,"Die Braunmoorgesellschaften der Böhmisch-Mährischen Höhe (Tschechoslowakei) und die Problematik ihrer Klassifikation.","Preslia, Praha, 36: 403-415."
400474,"Vicherek J.",1975,"Synekologická charakteristika psamofytní vegetace jižní Moravy.","Ms. [Závěr. zpr., depon. in: BÚ AV ČR Průhonice.]"
400475,"Bartošová L.",1983,"Srovnání vegetace dvou typů městské zástavby v Plzni.","Ms. [Dipl. pr., depon. in: PřF UK, Praha.]"
400476,"Husáková J. et Guzikowa M.",1980,"Flóra a vegetace silničních krajnic v západní části českých Krkonoš.","Opera Corcont., Vrchlabí, 16: 87-112."
400477,"Grüll F.",1979,"Rostlinná společenstva železničních tratí a nádražních objektů v širším areálu města Brna.","Preslia, Praha, 51: 129-140."
400478,"Kovář P. et Lepš J.",1986,"Ruderal communities of the railway station Česká Třebová (Eastern Bohemia, Czechoslovakia) - remarks on the application of classical and numerical methods of classification.","Preslia, Praha, 58: 141-163."
400479,"Míka V.",1977,"Intenzita sešlapávání a produktivnost rostlinných společenstev v oplůtkových pastvinách.","Rostl. Výroba, Praha, 23: 1305-1310."
400480,"Pyšek A.",1986,"Atriplex rosea L. v obci Evaň na Lounsku.","Severočes. Přír., Litoměřice, 19: 43-47."
400481,"Pyšek A.",1975,"Základní charakteristika ruderální vegetace Chomutova.","Severočes. Přír., Litoměřice, 6: 1-69."
400482,"Pyšek A. et Lorber J.",1992,"Sclerochloo-Polygonetum avicularis Soó ex Korneck 1969 v Krásném Dvoře na Lounsku a v některých sídlištích Chomutovska.","Severočes. Přír., Litoměřice, 26: 1-4."
400483,"Pyšek A., Ondráček Č. et Lorber J.",1993,"Coronopodo-Polygonetum avicularis Oberd. 1971 na Kadaňsku a v přilehlém území.","Severočes. Přír., Litoměřice, 27: 1-18."
400484,"Slabý P.",1969,"Rostlinná společenstva jižní části Českého lesa.","Ms. [Dipl. pr., depon. in: PřF UK, Praha.]"
400485,"Sládek J.",1997,"Sclerochloa dura (L.) Beauv. ve středním Poohří a jeho okolí.","Severočes. Přír., Litoměřice, 30: 71-88."
400486,"Pyšek A. et Šandová M.",1979,"Die Vegetation der Abraumhalden von Ejpovice.","Folia Mus. Rer. Natur. Bohem. Occid., Plzeň, Bot., 12: 1-46."
400487,"Sobotková V.",1993,"Ruderální společenstva třídy Chenopodietea na hutnickém odvalu v Bohumíně.","Acta Fac. Rer. Natur. Univ. Ostrav., Ostrava, Biol.-Ekol., 135/1: 15-29."
400488,"Sobotková V.",1993,"Rostlinná společenstva třídy Artemisietea vulgaris na hutnickém odvalu v Bohumíně.","Acta Fac. Rer. Natur. Univ. Ostrav., Ostrava, Biol.-Ekol., 135/1: 3-14."
400489,"Blažková D.",1997,"Historie Zbudovských blat a jejich vegetace (Českobudějovicko).","Příroda, Praha, 11: 29-52."
400490,"Gogela J.",1971,"Rostlinná společenstva luční a pastvinné vegetace Hostýnských vrchů.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
400491,"Hadač E. et Váňa J.",1969,"Příspěvek k poznání rašelinných rostlinných společenstev východních Krkonoš.","Opera Corcont., Vrchlabí, 5: 157-173."
400493,"Klika J.",1935,"Příspěvek k poznání rostlinných společenstev na rašelinách. (Svaz Rhynchosporion).","Sborn. Čs. Akad. Zeměd., Praha, 10: 118-124."
400494,"Klika J.",1941,"Příspěvek k typologii luk ve východních Čechách.","Sborn. Čs. Akad. Zeměd., Praha, 16: 27-33."
400496,"Klika J.",1955,"Nauka o rostlinných společenstvech (Fytocenologie).","Nakladatelství Československé akademie věd, Praha."
400497,"Klika J. et Šmarda J.",1943,"Návrh na zřízení reservace.","Krása Našeho Domova, Praha, 35: 143-144."
400498,"Novák V., Kavina K., Klika J. et al.",1935,"Příručka metodiky rostlinné sociologie a ekologie.","Sborn. Výzk. Úst. Zeměd. RČS, Praha, 125: 1-244."
400499,"Rybníček K.",1958,"Nové lokality Trichophorum alpinum, Paludella squarrosa a Meesea triquetra na Jihlavsku.","Preslia, Praha, 30: 203-207."
400500,"Rybníček K.",1970,"Rhynchospora alba (L.) Vahl, its distribution, communities and habitat conditions in Czechoslovakia. Part 2.","Folia Geobot. Phytotax., Praha, 5: 221-263."
400501,"Řehořek V.",1958,"Rašelinné louky a vrchoviště pramenné oblasti říčky Bělé na Drahanské vysočině.","Ochr. Přír., Praha, 13: 11-17."
400502,"Smejkal M. et Vicherek J.",1955,"Poznámky ke květeně údolí mezi Brannou a Ramzovou v Hrubém Jeseníku.","Přírod. Sborn. Ostrav. Kraje, Ostrava, 16: 65-70."
