"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
100034,"Chán V., Štech M. et Vydrová A.",2000,"Nálezy zajímavých a nových druhů v květeně jižní části Čech VI.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 40: 20-22."
100035,"Hejný S.",2000,"Rdest Potamogeton angustifolius J. S. Presl v severní části Českobudějovické pánve.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 40: 45-48."
100036,"Chán V., Lepší M. et Lepší P. [red.]",2005,"Nálezy zajímavých a nových druhů v květeně jižní části Čech XI.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 45: 167-176."
100037,"Jihočeská pobočka České botanické společnosti při AV ČR",2002,"Nálezy zajímavých a nových druhů v květeně jižní části Čech VIII.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 42: 111-117."
100038,"Lepší M., Lepší P. et Paulič. R",2006,"Rozrazil trojlaločný (Veronica triloba) v Předšumaví.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 46: 101-112."
100039,"Chán V., Lepší M. et Lepší P. [red.]",2006,"Nálezy zajímavých a nových druhů v květeně jižní části Čech XII.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 46: 125-136."
100040,"Lepší P., Lepší M., Marek M., Chán V. et Paulič. R.",2007,"Příspěvek ke květeně skal vltavského údolí u Orlíku ve Středním Povltaví.","Sborn. Jihočes. Muz. České Budějovice - Přír. Vědy, 47:117-125."
100041,"Hadinec J. et Lustyk P. [eds]",2008,"Additamenta ad floram Reipublicae Bohemicae. VII.","Zpr. Čes. Bot. Společ., Praha, 43: 251-336."
100042,"Strnad L. et Ekrt L.",2007,"Nález nové lokality kyvoru lékařského  (Asplenium ceterah, Aspleniaceae, Pteridophyta) a přehled jeho rozšíření v České republice.","Zpr. Čes. Bot. Společ., Praha, 42: 221-229."
100043,"Hadinec J. et Lustyk P. [eds]",2007,"Additamenta ad floram Reipublicae Bohemicae VI.","Zpr. Čes. Bot. Společ., Praha, 42: 247-337."
100044,"Otýpková Z.",2007,"Poznámky k současnému rozšíření Veronica agrestis v České republice.","Zpr. Čes. Bot. Společ., Praha, 42: 105-115."
100045,"Gerža M.",2007,"Některá horská společenstva Orlických hor.","Zpr. Čes. Bot. Společ., Praha, 42: 141-154."
100046,"Lepší M.",2005,"Mochyně pýřitá (Physalis pubescens) - poprvé přechodně zplanělá na území ČR.","Zpr. Čes. Bot. Společ., Praha, 40: 45-47."
100047,"Hadinec J., Lustyk P. et Procházka F. [eds]",2004,"Additamenta ad floram Reipublicae Bohemicae IV.","Zpr. Čes. Bot. Společ., Praha, 40: 77-149."
100048,"Špryňar P.",2004,"Poznámky k překvapivému výskytu podmrvky jižní (Notholaena marantae) a sleziníku hadcového (Asplenium cuneifolium) na ultrabazickém pikritu v Českém krasu.","Zpr. Čes. Bot. Společ., Praha, 39: 321-338."
