"SYNTAXON","SYNTAXON_NAME"
"LEA01","Thlaspio montani-Pinetum sylvestris"
"LF","Vaccinio-Piceetea"
"LFA","Festuco-Pinion sylvestris"
"LFA01","Festuco-Pinetum sylvestris"
"LFB","Dicrano-Pinion sylvestris"
"LFB01","Cladino-Pinetum sylvestris"
"LFB02","Vaccinio myrtilli-Pinetum sylvestris"
"LFB03","Hieracio pallidi-Pinetum sylvestris"
"LFB04","Asplenio cuneifolii-Pinetum sylvestris"
"LFC","Piceion abietis"
"LFC01","Calamagrostio villosae-Piceetum abietis"
"LFC02","Athyrio distentifolii-Piceetum abietis"
"LFC03","Equiseto sylvatici-Piceetum abietis"
"LFC04","Soldanello montanae-Piceetum abietis"
"LFD","Vaccinio uliginosi-Pinion sylvestris"
"LFD01","Vaccinio uliginosi-Betuletum pubescentis"
"LFD02","Vaccinio uliginosi-Pinetum sylvestris"
"LFD03","Vaccinio-Pinetum montanae"
"LFD04","Vaccinio uliginosi-Piceetum abietis"
"MA","Isoeto-Nano-Juncetea"
"MAA","Eleocharition ovatae"
"MAA01","Polygono-Eleocharitetum ovatae"
"MAA02","Cyperetum micheliani"
"MAA03","Stellario uliginosae-Isolepidetum setaceae"
"MAB","Radiolion linoidis"
"MAB01","Centunculo minimi-Anthoceretum punctati"
"MAB02","Junco tenageiae-Radioletum linoidis"
"MAC","Verbenion supinae"
"MAC01","Veronico anagalloidis-Lythretum hyssopifoliae"
"MAC02","Cerastio dubii-Ranunculetum sardoi"
"MAC03","Pulicario vulgaris-Menthetum pulegii"
"MB","Bidentetea tripartitae"
"MBA","Bidention tripartitae"
"MBA01","Rumici maritimi-Ranunculetum scelerati"
"MBA02","Bidentetum tripartitae"
"MBA03","Bidentetum cernuae"
"MBA04","Polygono brittingeri-Chenopodietum rubri"
"MBA05","Corrigiolo littoralis-Bidentetum radiatae"
"MBA06","Polygonetum hydropiperis"
"MBB","Chenopodion rubri"
"MBB01","Chenopodietum rubri"
"MBB02","Bidenti frondosae-Atriplicetum prostratae"
"MBB03","Chenopodietum ficifolii"
"MBB04","Chenopodio chenopodioidis-Atriplicetum prostratae"
"MC","Phragmito-Magno-Caricetea"
"MCA","Phragmition australis"
"MCA01","Schoenoplectetum lacustris"
"MCA02","Typhetum angustifoliae"
"MCA03","Typhetum latifoliae"
"MCA04","Phragmitetum australis"
"MCA05","Glycerietum maximae"
"MCA06","Glycerio-Sparganietum neglecti"
"MCA07","Acoretum calami"
"MCA08","Equisetetum fluviatilis"
"MCA09","Typhetum shuttleworthii"
"MCA10","Phalarido arundinaceae-Bolboschoenetum laticarpi"
"MCB","Meliloto dentati-Bolboschoenion maritimi"
"MCB01","Astero pannonici-Bolboschoenetum compacti"
"MCB02","Schoenoplectetum tabernaemontani"
"MCC","Eleocharito palustris-Sagittarion sagittifoliae"
"MCC01","Oenanthetum aquaticae"
"MCC02","Oenantho aquaticae-Rorippetum amphibiae"
"MCC03","Sagittario sagittifoliae-Sparganietum emersi"
"MCC04","Eleocharito palustris-Hippuridetum vulgaris"
"MCC05","Scirpetum radicantis"
"MCC06","Eleocharitetum palustris"
"MCC07","Alopecuro-Alismatetum plantaginis-aquaticae"
"MCC08","Alismatetum lanceolati"
"MCC09","Batrachio circinati-Alismatetum graminei"
"MCC10","Butometum umbellati"
"MCC11","Bolboschoenetum yagarae"
"MCC12","Tripleurospermo inodori-Bolboschoenetum planiculmis"
"MCD","Phalaridion arundinaceae"
"MCD01","Rorippo-Phalaridetum arundinaceae"
"MCD02","Caricetum buekii"
"MCD03","Tussilagini farfarae-Calamagrostietum pseudophragmitae"
"MCE","Glycerio-Sparganion"
"MCE01","Glycerietum fluitantis"
"MCE02","Glycerietum notatae"
"MCE03","Beruletum erectae"
"MCE04","Nasturtietum officinalis"
"MCE05","Leersietum oryzoidis"
"MCF","Carici-Rumicion hydrolapathi"
"MCF01","Cicuto virosae-Caricetum pseudocyperi"
"MCF02","Thelypterido palustris-Phragmitetum australis"
"MCF03","Calletum palustris"
"MCG","Magno-Caricion elatae"
"MCG01","Caricetum elatae"
"MCG02","Equiseto fluviatilis-Caricetum rostratae"
"MCG03","Peucedano palustris-Caricetum lasiocarpae"
"MCG04","Comaro palustris-Caricetum cespitosae"
"MCG05","Caricetum diandrae"
"MCG06","Caricetum appropinquatae"
"MCG07","Carici elatae-Calamagrostietum canescentis"
"MCG08","Cladietum marisci"
"MCH","Magno-Caricion gracilis"
"MCH01","Caricetum acutiformi-paniculatae"
"MCH02","Caricetum acutiformis"
"MCH03","Caricetum gracilis"
"MCH04","Caricetum vesicariae"
"MCH05","Caricetum distichae"
"MCH06","Caricetum ripariae"
"MCH07","Caricetum vulpinae"
"MCH08","Phalaridetum arundinaceae"
"RA","Montio-Cardaminetea"
"RAA","Caricion remotae"
"RAA01","Caricetum remotae"
