"SYNTAXON","SYNTAXON_NAME"
"XCB","Dauco carotae-Melilotion"
"XCB01","Melilotetum albo-officinalis"
"XCB02","Berteroetum incanae"
"XCB03","Dauco carotae-Crepidetum rhoeadifoliae"
"XCB04","Dauco carotae-Picridetum hieracioidis"
"XCB05","Poo compressae-Tussilaginetum farfarae"
"XCB06","Poetum humili-compressae"
"XCB07","Tanaceto vulgaris-Artemisietum vulgaris"
"XCB08","Artemisio vulgaris-Echinopsietum sphaerocephali"
"XCB09","Rudbeckio laciniatae-Solidaginetum canadensis"
"XCB10","Buniadetum orientalis"
"XCB11","Asclepiadetum syriacae"
"XCC","Convolvulo arvensis-Elytrigion repentis"
"XCC01","Convolvulo arvensis-Elytrigietum repentis"
"XCC02","Falcario vulgaris-Elytrigietum repentis"
"XCC03","Convolvulo arvensis-Brometum inermis"
"XCC04","Cardarietum drabae"
"XCD","Artemisio-Kochion prostratae"
"XCD01","Agropyro cristati-Kochietum prostratae"
"XCE","Arction lappae"
"XCE01","Urtico urentis-Chenopodietum boni-henrici"
"XCE02","Arctietum lappae"
"XCE03","Hyoscyamo nigri-Conietum maculati"
"XCE04","Sambucetum ebuli"
"XD","Galio-Urticetea"
"XDA","Senecionion fluviatilis"
"XDA01","Cuscuto europaeae-Calystegietum sepium"
"XDA02","Calystegio sepium-Epilobietum hirsuti"
"XDA03","Calystegio sepium-Impatientetum glanduliferae"
"XDA04","Sicyo angulatae-Echinocystietum lobatae"
"XDB","Petasition hybridi"
"XDB01","Petasitetum hybridi"
"XDB02","Petasitetum hybrido-kablikiani"
"XDC","Impatienti noli-tangere-Stachyion sylvaticae"
"XDC01","Stachyo sylvaticae-Impatientetum noli-tangere"
"XDC02","Epilobio montani-Geranietum robertiani"
"XDC03","Arunco vulgaris-Lunarietum redivivae"
"XDC04","Carici pendulae-Eupatorietum cannabini"
"XDC05","Urtico dioicae-Parietarietum officinalis"
"XDD","Geo urbani-Alliarion petiolatae"
"XDD01","Alliario petiolatae-Chaerophylletum temuli"
"XDD02","Torilidetum japonicae"
"XDD03","Anthriscetum trichospermae"
"XDE","Aegopodion podagrariae"
"XDE01","Elytrigio repentis-Aegopodietum podagrariae"
"XDE02","Symphyto officinalis-Anthriscetum sylvestris"
"XDE03","Chaerophylletum aromatici"
"XDE04","Chaerophylletum aurei"
"XDE05","Chaerophylletum bulbosi"
"XDE06","Anthrisco nitidae-Aegopodietum podagrariae"
"XDE07","Oenothero biennis-Helianthetum tuberosi"
"XDE08","Urtico dioicae-Heracleetum mantegazziani"
"XDE09","Asteretum lanceolati"
"XDE10","Reynoutrietum japonicae"
"XDF","Rumicion alpini"
"XDF01","Rumicetum alpini"
"XE","Epilobietea angustifolii"
"XEA","Fragarion vescae"
"XEA01","Senecioni-Epilobietum angustifolii"
"XEA02","Digitali purpureae-Epilobietum angustifolii"
"XEA03","Rubo idaei-Calamagrostietum arundinaceae"
"XEA04","Junco effusi-Calamagrostietum villosae"
"XEA05","Digitali-Senecionetum ovati"
"XEA06","Pteridietum aquilini"
"XEA07","Gymnocarpio dryopteridis-Athyrietum filicis-feminae"
"A","Alpine and subalpine vegetation"
"T","Grassland and heathland vegetation"
"X","Ruderal and weed vegetation"
"S","Rock and scree vegetation"
"V","Aquatic vegetation"
"M","Wetland vegetation"
"R","Spring and mire vegetation"
"K","Scrub vegetation"
"L","Forest vegetation"
