"AUTHOR","AUTH_NAME"
"0222","Komárková Věra"
"0223","Petrík Anton"
"0224","Lukniš Milan"
"0225","Adamec Lubomír"
"0226","Vološčuk Ivan"
"0227","Suchá J."
"0228","Bělohlávková Radmila"
"0229","Fišerová Daniela"
"0230","Hašková Jana"
"0231","Pivničková Marie"
"0232","Sajverová E."
"0233","Ružička Milan"
"0234","Randuška Dušan"
"0235","Ježek Vojtěch"
"0236","Dražil Tomáš"
"0237","Mladý František"
"0238","Kneblová Vlasta"
"0239","Muranský Stanislav"
"0240","Pohl Franz"
"0241","Pospíšil Valentin"
"0242","Križo Milan"
"0243","Májovský Jozef"
"0244","Osvačilová Věra"
"0245","Matějka Karel"
"0246","Dohnal Zdeněk"
"0247","Grebenščikov Oleg"
"0248","Holubičková Bohumila"
"0249","Klečka Antonín"
"0250","Košťál Jaroslav"
"0251","Velísek Václav"
"0252","Bosáčková E."
"0253","Kropáčová Alexandra"
"0254","Nevole Josef"
"0255","Klement Oscar"
"0256","Kühn František"
"0257","Hejtmánek Jiří"
"0258","Koutecký Bohuslav"
"0259","Altmannová M."
"0260","Baláž Daniel"
"0261","Bohušová K."
"0262","Balcerkiewicz Stanisław"
"0263","Mládek Jan"
"0264","Braun-Blanquet Josias"
"0265","Buraľ M."
"0266","Danáková Anna"
"0267","Dobšovičová H."
"0268","Dzubinová"
"0269","Fraňo A."
"0270","Gruna Bronislav"
"0271","Gutte Peter"
"0272","Halada Ľuboš"
"0273","Haraslínová"
"0274","Hilbert H."
"0275","Hodálová Iva"
"0276","Holotová Eugénia"
"0277","Hrivnák Richard"
"0278","Hrozienčík M."
"0279","Janovicová Katarína"
"0280","Jarošová E."
"0281","Kaleta Milan"
"0282","Karasová Emília"
"0283","Klescht Viliam"
"0284","Kochjarová Judita"
"0285","Králik Tibor"
"0286","Kremlová"
"0287","Kvarteková Stela"
"0288","Kulczyński Stanisław"
"0289","Kyseľová Zuzana"
"0290","Michalko Martin"
"0291","Migra Vladimír"
"0292","Mráz Patrik"
"0293","Turisová = Ondrejová Ingrid"
"0294","Passarge Harro"
"0295","Pawłowski Bogumił"
"0296","Pietorová Eva"
"0297","Pilous Zdeněk"
"0298","Pitoniak Pavol"
