"SYNTAX_OLD","SYNTAXON_OLD_NAME"
"29AA04","Rhamno catharticae-Cornetum sanguineae"
"29AA05","Violo hirtae-Cornetum maris"
"29AA06","Prunetum mahaleb"
"29AB","Prunion spinosae"
"29AB01","Prunetum fruticosae"
"29AB02","Junipero communis-Cotoneastretum integerrimae"
"29AB03","Prunetum tenellae"
"30","SALICETEA PURPUREAE"
"30A","SALICETALIA PURPUREAE"
"30AA","Salicion triandrae"
"30AA01","Salicetum triandrae"
"30AB","Salicion eleagno-daphnoidis"
"30AB01","Agrostio-Salicetum purpureae"
"30AC","Salicion albae"
"30AC01","Salici-Populetum"
"30AC02","Salicetum albae"
"30AC03","Chaerophyllo hirsuti-Salicetum fragilis"
"31","ALNETEA GLUTINOSAE"
"31A","ALNETALIA GLUTINOSAE"
"31AA","Alnion glutinosae"
"31AA01","Carici elongatae-Alnetum"
"31AA02","Calamagrostio canescentis-Alnetum"
"31AA03","Carici acutiformis-Alnetum"
"31B","SALICETALIA AURITAE"
"31BA","Salicion cinereae"
"31BA01","Salici-Franguletum"
"31BA02","Salicetum pentandro-auritae"
"31BA03","Salicetum pentandro-cinereae"
"32","QUERCO-FAGETEA"
"32A","FAGETALIA SYLVATICAE"
"32AA","Alnion incanae"
"32AA'","Alnenion glutinoso-incanae"
"32AA01","Pruno-Fraxinetum"
"32AA02","Stellario-Alnetum glutinosae"
"32AA03","Arunco sylvestris-Alnetum glutinosae"
"32AA04","Alnetum incanae"
"32AA05","Carici remotae-Fraxinetum"
"32AA06","Piceo-Alnetum"
"32AA07","Carici-Quercetum"
"32AA''","Ulmenion"
"32AA08","Fraxino-Populetum"
"32AA09","Querco-Ulmetum"
"32AA10","Fraxino pannonicae-Ulmetum"
"32AB","Carpinion"
"32AB01","Melampyro nemorosi-Carpinetum"
"32AB02","Carici pilosae-Carpinetum"
"32AB03","Primulo veris-Carpinetum"
"32AB04","Tilio-Carpinetum"
"32AB05","Tilio-Betuletum"
"32AB06","Stellario-Tilietum"
"32AC","Tilio-Acerion"
"32AC01","Aceri-Carpinetum"
"32AC02","Lunario-Aceretum"
"32AC03","Scolopendrio-Fraxinetum"
"32AC04","Arunco-Aceretum"
"32AC05","Mercuriali-Fraxinetum"
"32AD","Fagion"
"32AD'","Eu-Fagenion"
"32AD01","Tilio platyphylli-Fagetum"
"32AD02","Tilio cordatae-Fagetum"
"32AD03","Melico-Fagetum"
"32AD04","Carici pilosae-Fagetum"
"32AD05","Dentario enneaphylli-Fagetum"
"32AD06","Dentario glandulosae-Fagetum"
"32AD07","Festuco altissimae-Fagetum"
"32AD08","Violo reichenbachianae-Fagetum"
"32AD''","Acerenion"
"32AD09","Aceri-Fagetum"
"32AD10","Daphno mezerei-Aceretum pseudoplatani"
"32AD'''","Cephalanthero-Fagenion"
"32AD11","Cephalanthero-Fagetum"
"32AD""""","Galio-Abietenion"
"32AD12","Abietetum hercynicum"
"32AD13","Equiseto-Abietetum"
"32AE","Luzulo-Fagion"
"32AE01","Luzulo-Fagetum"
"32AE02","Calamagrostio villosae-Fagetum"
"32AE03","Luzulo pilosae-Abietetum"
"32AE04","Deschampsio flexuosae-Abietetum"
"32B","QUERCETALIA PUBESCENTI-PETRAEAE"
"32BA","Quercion pubescenti-petraeae"
"32BA01","Lathyro versicoloris-Quercetum pubescentis"
"32BA02","Pruno mahaleb-Quercetum pubescentis"
"32BA03","Sorbo torminalis-Quercetum"
"32BA04","Lithospermo-Quercetum"
"32BA05","Corno-Quercetum"
"32BA06","Potentillo albae-Quercetum"
"32BA07","Genisto pilosae-Quercetum petraeae"
"33","QUERCETEA ROBORI-PETRAEAE"
"33A","QUERCETALIA ROBORI-PETRAEAE"
"33AA","Genisto germanicae-Quercion"
"33AA01","Luzulo albidae-Quercetum"
"33AA02","Molinio arundinaceae-Quercetum"
"33AA03","Vaccinio vitis-idaeae-Quercetum"
"33AA04","Viscario-Quercetum"
"33AA05","Calluno-Quercetum"
"33AA06","Abieti-Quercetum"
"34","ERICO-PINETEA"
"34A","ERICO-PINETALIA"
"34AA","Erico-Pinion"
"34AA01","Cytiso-Pinetum"
"35","VACCINIO-PICEETEA"
"35A","PICEETALIA EXCELSAE"
"35AA","Dicrano-Pinion"
"35AA01","Dicrano-Pinetum"
"35AA02","Cladonio rangiferinae-Pinetum sylvestris"
"35AA03","Vaccinio uliginosi-Pinetum"
"35AA04","Betulo carpaticae-Pinetum"
"35AA05","Hieracio pallidi-Pinetum"
"35AA06","Asplenio cuneifolii-Pinetum"
"35AB","Piceion excelsae"
"35AB01","Calamagrostio villosae-Piceetum"
"35AB02","Anastrepto-Piceetum"
"35AB03","Mastigobryo-Piceetum"
"35AB04","Sphagno-Piceetum"
"35AB05","Dryopterido dilatatae-Piceetum"
"35AC","Pinion mughi"
"35AC01","Myrtillo-Pinetum mughi"
"35AD","Betulion pubescentis"
"35AD01","Betuletum pubescentis"
"35B","ATHYRIO-PICEETALIA"
"35BA","Athyrio alpestris-Piceion"
"35BA01","Athyrio alpestris-Piceetum"
"36","ROBINIETEA"
"36A","CHELIDONIO-ROBINIETALIA"
"36AA","Chelidonio-Robinion"
"36AA01","Chelidonio-Robinietum"
"36AA02","Impatienti parviflorae-Robinietum"
"36AB","Balloto nigrae-Robinion"
"36AB01","Balloto nigrae-Robinietum"
"37","EPILOBIETEA ANGUSTIFOLII"
"37A","ATROPETALIA"
"37AA","Carici piluliferae-Epilobion angustifolii"
"37AA01","Epilobietum angustifolii"
"37AA02","Epilobio-Digitalietum purpureae"
"37AA03","Senecioni sylvatici-Epilobietum angustifolii"
"37AB","Atropion bellae-donnae"
"37AB01","Atropetum bellae-donnae"
"37AB02","Arctietum nemorosi"
"37AC","Rumici-Avenellion flexuosae"
"37AC01","Myrtillo-Avenelletum flexuosae"
"37AC02","Avenello-Molinietum caeruleae"
"37AC03","Calamagrostio villosae-Franguletum"
"37AC04","Junco effusi-Calamagrostietum villosae"
"37B","SAMBUCETALIA"
"37BA","Sambuco-Salicion capreae"
"37BA01","Senecionetum fuchsii"
"37BA02","Sambucetum racemosae"
"37BA03","Sambucetum nigrae"
"37BA04","Rubetum idaei"
"37BA05","Salicetum capreae"
"38","BIDENTETEA TRIPARTITAE"
"38A","BIDENTETALIA"
"38AA","Bidention tripartitae"
"38AA01","Rumicetum maritimi"
"38AA02","Bidentetum tripartitae"
"38AA03","Bidentetum cernuae"
"38AA04","Polygono brittingeri-Chenopodietum rubri"
"38AA05","Pulicario vulgaris-Bidentetum"
"38AA06","Bidens frondosa"
"39","CHENOPODIETEA"
"39A","SISYMBRIETALIA"
"39AA","Chenopodion glauci"
"39AA01","Chenopodietum glauco-rubri"
"39AA02","Chenopodio-Atriplicetum triangularis"
"39AA03","Atriplici-Chenopodietum crassifolii"
"39AA04","Chenopodietum ficifolii"
"39AA05","Puccinellio-Chenopodietum glauci"
"39AB","Malvion neglectae"
"39AB01","Malvetum neglectae"
"39AB02","Malvetum pusillae"
"39AB03","Chenopodietum muralis"
"39AB04","Chenopodietum vulvariae"
"39AB05","Matricario-Anthemidetum cotulae"
"39AC","Bromo-Hordeion murini"
"39AC01","Hordeetum murini"
"39AC02","Linario-Brometum tectorum"
"39AC03","Brometum sterilis"
"39AC04","Hordeo murini-Puccinellietum distantis"
"39AD","Sisymbrion officinalis"
"39AD01","Chenopodietum albo-viridis"
"39AD02","Chenopodietum urbici"
"39AD03","Chenopodietum stricti"
"39AD04","Atriplicetum nitentis"
"39AD05","Cynodonto-Atriplicetum tataricae"
"39AD06","Sisymbrio-Atriplicetum oblongifoliae"
"39AD07","Sisymbrietum sophiae"
"39AD08","Lactuco-Sisymbrietum altissimi"
"39AD09","Erigeronto-Lactucetum"
"39AD10","Diplotaxio tenuifoliae-Agropyretum repentis"
"39AD11","Lepidietum drabae"
"39AD12","Atriplex rosea spol."
"39B","ATRIPLICI-CHENOPODIETALIA ALBI"
"39BA","Fumario-Euphorbion"
"39BA01","Amarantho-Fumarietum"
"39BA02","Amarantho-Chenopodietum"
"39BB","Spergulo-Oxalidion"
"39BB01","Rorippo-Chenopodietum polyspermi"
"39BB02","Oxalido-Chenopodietum polyspermi"
"39BC","Panico-Setarion"
"39BC01","Setarietum viridi-verticillatae"
"39BC02","Setario-Galinsogetum"
"39C","ERAGROSTIETALIA"
"39CA","Eragrostion"
"39CA01","Panico sanguinalis-Eragrostietum minoris"
"39CA02","Hibisco-Eragrostietum"
"39CA03","Digitario-Portulacetum"
"39CA04","Eragrostio poaeoidis-Panicetum capillaris"
"39CB","Salsolion ruthenicae"
"39CB01","Chaenorrhino-Chenopodietum botryos"
"39CB02","Plantaginetum indicae"
"39CB03","Salsoletum ruthenicae"
"40","ARTEMISIETEA VULGARIS"
"40A","ONOPORDETALIA ACANTHII"
"40AA","Onopordion acanthii"
"40AA01","Onopordetum acanthii"
"40AA02","Potentillo argenteae-Artemisietum absinthii"
"40AA03","Xanthietum spinosi"
"40AA04","Lappulo-Cynoglossetum"
"40AA05","Cirsietum eriophori"
"40AB","Dauco-Melilotion"
"40AB01","Echio-Verbascetum"
"40AB02","Echio-Melilotetum"
"40AB03","Melilotetum albo-officinalis"
"40AB04","Berteroetum incanae"
"40AB05","Dauco-Picridetum"
"40AB06","Dauco-Crepidetum rhoeadifoliae"
"41","GALIO-URTICETEA"
"41A","CONVOLVULETALIA SEPIUM"
"41AA","Senecion fluviatilis"
"41AA01","Fallopio-Cucubaletum bacciferi"
"41AA02","Aristolochio-Cucubaletum bacciferi"
"41AA03","Cuscuto europaeae-Convolvuletum sepium"
"41AA04","Convolvulo-Epilobietum hirsuti"
"41AA05","Carduus crispus spol."
"41B","PETASITO-CHAEROPHYLLETALIA"
"41BA","Petasition officinalis"
"41BA01","Petasitetum albi"
"41BA02","Chaerophylletum cicutariae"
"41BA03","Petasitetum hybridi"
"41BA04","Petasitetum officinali-glabrati"
"41C","LAMIO ALBI-CHENOPODIETALIA BONI-HENRICI"
"41CA","Galio-Alliarion"
"41CA01","Alliario officinalis-Chaerophylletum temuli"
"41CA02","Epilobio-Geranietum robertiani"
"41CA03","Anthriscetum trichospermae"
"41CA04","Torilidetum japonicae"
"41CA05","Cephalarietum pilosae"
"41CB","Arction lappae"
"41CB01","Balloto nigrae-Chenopodietum boni-henrici"
"41CB02","Arctietum lappae"
"41CB03","Lamio-Conietum maculati"
"41CB04","Sambucetum ebuli"
"41CB05","Tanaceto-Artemisietum vulgaris"
"41CB06","Urtico-Artemisietum vulgaris"
"41CB07","Artemisio-Melilotetum albae"
"41CC","Aegopodion podagrariae"
"41CC01","Urtico-Aegopodietum"
"41CC02","Chaerophylletum bulbosi"
"41CC03","Chaerophylletum aromatici"
"41CC04","Chaerophylletum aurei"
"41CC05","Anthrisco nitidi-Aegopodietum"
"41CC06","Aegopodio-Menthetum longifoliae"
"41CC07","Rumici obtusifolii-Chenopodietum"
"41CC08","Anthriscetum sylvestris"
"41CC09","Urtico-Heracleetum mantegazziani"
"41CD","Rumicion alpini"
"41CD01","Rumicetum alpini"
"42","AGROPYRETEA REPENTIS"
"42A","AGROPYRETALIA REPENTIS"
"42AA","Convolvulo-Agropyrion"
"42AA01","Agropyretum repentis"
"42AA02","Cynodontetum dactyli"
"42AA03","Poo compressae-Tussilaginetum"
"42AA04","Plantagini-Poetum compressae"
"42AA05","Poetum pratensi-compressae"
"42AA06","Melico transsilvanicae-Agropyretum"
"42AA07","Falcario vulgaris-Agropyretum repentis"
"43","PLANTAGINETEA MAJORIS"
"43A","AGROSTIETALIA STOLONIFERAE"
"43AA","Agropyro-Rumicion crispi"
"43AA'","Ranunculo repentis-Rumicenion crispi"
"43AA01","Ranunculo-Alopecuretum geniculati"
"43AA02","Rumici crispi-Agrostietum stoloniferae"
"43AA03","Potentilletum anserinae"
"43AA04","Dactylido-Festucetum arundinaceae"
"43AA05","Juncetum compressi"
"43AA06","Rumici crispi-Agropyretum"
"43AA''","Loto-Trifolienion"
"43AA07","Loto-Potentilletum anserinae"
"43AA08","Agrostio-Caricetum secalinae"
"43AA09","Blysmo-Juncetum compressi"
"43AA10","Junco inflexi-Menthetum longifoliae"
"43AA11","Agrostio-Caricetum distantis"
"43AA12","Meliloto-Caricetum otrubae"
"43AA'''","Juncenion effusi"
"43AA13","Juncetum effusi"
"43B","PLANTAGINETALIA MAJORIS"
"43BA","Polygonion avicularis"
"43BA01","Herniarietum glabrae"
"43BA02","Sagino-Bryetum argentei"
"43BA03","Lolio-Plantaginetum majoris"
"43BA04","Poetum annuae"
"43BA05","Poo supinae-Alchemilletum hybridae"
"43BA06","Prunello-Plantaginetum majoris"
"43BA07","Polygonetum avicularis"
"43BA08","Eragrostio-Polygonetum avicularis"
"43BA09","Poo-Coronopodetum squamati"
"43BA10","Sclerochloo-Polygonetum avicularis"
"43BA11","Cynodonto-Plantaginetum majoris"
"43BA12","Festuco rupicolae-Lolietum perennis"
"43BA13","Juncetum tenuis"
"44","SECALIETEA"
"44A","SECALIETALIA"
"44AA","Caucalidion lappulae"
"44AA01","Caucalido daucoidis-Conringietum orientalis"
"44AA02","Lathyro-Adonidetum aestivalis"
"44AA03","Euphorbio-Melandrietum noctiflori"
"44AA04","Consolido-Anthemidetum austriacae"
"44AA05","Veronicetum hederifolio-triphylli"
"44AB","Sherardion"
"44AB01","Aethuso-Galeopsietum"
"44AC","Veronico politae-Taraxacion"
"44AC01","Valerianello-Thlaspietum perfoliati"
"44B","APERETALIA"
"44BA","Aphanion"
"44BA01","Aphano-Matricarietum chamomilae"
"44BA02","Spergulo-Scleranthetum annui"
"44BA03","Holco-Galeopsietum"
"44BA04","Erophilo-Arabidopsietum"
"44BB","Scleranthion annui"
"44BB01","Sclerantho annui-Arnoseridetum minimae"
"32BA03a","Sorbo torminalis-Quercetum typicum"
"32BA03b","Sorbo torminalis-Quercetum caricetosum humilis"
"32BA03c","Sorbo torminalis-Quercetum poetosum"
"32BA01a","Lathyro versicoloris-Quercetum pubescentis typicum"
"32BA01b","Lathyro versicoloris-Quercetum pubescentis poetos"
"32BA08","Quercetum pubescenti-roboris"
"32BA09","Carici fritschii-Quercetum roboris"
"32BA10","Asplenio cuneifolii-Quercetum petraeae"
"21AA01a","Pastinaco-Arrhenatheretum"
"21AA01b","Ranunculo bulbosi-Arrhenatheretum"
"25AB04","Veronico dillenii-Galietum pedemontani"
"27AB04","Trifolio medii-Melampyretum nemorosi"
"01BB","Hypno-Polypodion vulgaris"
"01BB01","Asplenio trichomanis-Polypodietum vulgaris"
"06AB05","Impatienti-Dryopteridetum filicis-maris"
"26AA09","Euphorbio-Festucetum pallentis"
"26AE26","Dorycnio sericei-Caricetum humilis"
"26AE27","Inulo oculi-christi-Stipetum pulcherrimae"
"26BB05","Potentillo arenariae-Agrostietum vinealis"
"32AC06","Seslerio albicantis-Tilietum cordatae"
"34AA02","Thlaspio montani-Pinetum sylvestris"
"35AA07","Cardaminopsio petraeae-Pinetum"
"26BB06","Peucedano oreoselini-Festucetum rupicolae"
"32BA11","Brachypodium pinnatum-Quercus robur comm."
"32AD14","Dryopterido dilatatae-Fagetum"
"21BB27","Scirpo-Caricetum brizoidis"
"22AD03","Polygono-Deschampsietum flexuosae"
"22AA04","Solidagini-Nardetum"
"35AB06","Equiseto-Piceetum"
"19AB06","Carici flavae-Cratoneuretum filicini"
"19BC07","Carici echinatae-Sphagnetum recurvi"
"41CE","Impatienti noli-tangerae-Stachyion sylvaticae"
"41CE01","Carici pendulae-Eupatorietum cannabini"
"18AB06","Carici remotae-Calthetum laetae"
"18AB07","Caricetum remotae"
"13DB09","Glycerio-Sparganietum neglecti"
"39BA03","Lamio amplexicauli-Thlaspietum arvensis"
"39BA04","Euphorbio helioscopiae-Veronicetum persicae"
"39BA05","Setario viridis-Veronicetum politae"
